Barcode	PopID	CrossNum	Indiv	Origin	Exp	Trt	Rack	Pos	LfCount2	LfLgth2	LfWdth2	comment
120	CA001-20-3	CA001	20	3	inv	ass map	control	20	18	17	21.6	4.5	
121	CA001-20-4	CA001	20	4	inv	ass map	control	19	8	14	24.6	4.9	
122	CA001-20-5	CA001	20	5	inv	ass map	control	17	25	15	23	5.1	
123	CA001-20-7	CA001	20	7	inv	ass map	control	22	7	17	23	5.8	
124	CA001-20-8	CA001	20	8	inv	ass map	control	22	12	15	23.6	5.2	
125	CA001-20-9	CA001	20	9	inv	ass map	control	18	20	29	14	3.5	
126	CA001-2-2	CA001	2	2	inv	ass map	control	20	32	19	23.1	5.6	
127	CA001-2-3	CA001	2	3	inv	ass map	control	13	45	14	19.2	5.4	
128	CA001-2-4	CA001	2	4	inv	ass map	control	15	23	17	20.7	4.5	
129	CA001-2-5	CA001	2	5	inv	ass map	control	19	21	NA	NA	NA	
130	CA001-2-6	CA001	2	6	inv	ass map	control	20	27	NA	NA	NA	
131	CA001-3-1	CA001	3	1	inv	ass map	control	18	8	19	22.7	3.4	
132	CA001-3-11	CA001	3	11	inv	ass map	control	20	21	11	20.8	3.6	
133	CA001-3-12	CA001	3	12	inv	ass map	control	13	20	19	28.7	4.2	
134	CA001-3-13	CA001	3	13	inv	ass map	control	21	50	15	13.8	2.9	
135	CA001-3-14	CA001	3	14	inv	ass map	control	16	34	21	17.5	4.5	
136	CA001-3-15	CA001	3	15	inv	ass map	control	23	36	20	21.3	5.7	
137	CA001-3-17	CA001	3	17	inv	ass map	control	15	3	11	19.1	5.7	
138	CA001-3-18	CA001	3	18	inv	ass map	control	12	50	10	22.3	4.5	
139	CA001-3-19	CA001	3	19	inv	ass map	control	18	34	13	32.5	7.8	
140	CA001-3-2	CA001	3	2	inv	ass map	control	15	31	14	14.6	4.9	
141	CA001-3-3	CA001	3	3	inv	ass map	control	22	23	15	25.2	5.3	
142	CA001-3-4	CA001	3	4	inv	ass map	control	21	21	15	20.9	5.2	
143	CA001-3-6	CA001	3	6	inv	ass map	control	16	10	12	19.8	4.5	
144	CA001-3-7	CA001	3	7	inv	ass map	control	12	43	12	18.1	4.4	
145	CA001-3-8	CA001	3	8	inv	ass map	control	14	45	11	18.3	4.6	
146	CA001-3-9	CA001	3	9	inv	ass map	control	14	8	9	15.6	3.7	
147	CA001-4-1	CA001	4	1	inv	ass map	control	18	38	35	17.6	3.5	
148	CA001-4-10	CA001	4	10	inv	ass map	control	13	34	14	23.4	4.3	
149	CA001-4-11	CA001	4	11	inv	ass map	control	12	31	22	17	3.5	
150	CA001-4-12	CA001	4	12	inv	ass map	control	12	14	41	18.8	4.4	
151	CA001-4-2	CA001	4	2	inv	ass map	control	21	20	24	23.9	7.1	
152	CA001-4-4	CA001	4	4	inv	ass map	control	16	14	9	29.9	6.5	
153	CA001-4-5	CA001	4	5	inv	ass map	control	12	11	23	16.8	3.6	
154	CA001-4-6	CA001	4	6	inv	ass map	control	14	18	24	18.6	3.4	
155	CA001-4-7	CA001	4	7	inv	ass map	control	13	14	12	23.6	6.7	
156	CA001-4-8	CA001	4	8	inv	ass map	control	18	50	17	18	5.7	
157	CA001-4-9	CA001	4	9	inv	ass map	control	12	40	15	22.4	4.6	
158	CA001-5-10	CA001	5	10	inv	ass map	control	17	40	14	18.3	3.4	
159	CA001-5-11	CA001	5	11	inv	ass map	control	18	16	30	27.5	5.7	
160	CA001-5-12	CA001	5	12	inv	ass map	control	20	34	24	19.3	4.6	
161	CA001-5-13	CA001	5	13	inv	ass map	control	23	43	16	21.5	4.4	
162	CA001-5-14	CA001	5	14	inv	ass map	control	14	25	23	24	2.9	
163	CA001-5-15	CA001	5	15	inv	ass map	control	19	43	18	20	3.7	
164	CA001-5-17	CA001	5	17	inv	mat fx	nut def	11	40	13	16.4	4.1	
165	CA001-5-18	CA001	5	18	inv	ass map	control	22	9	12	20.6	5.3	
166	CA001-5-19	CA001	5	19	inv	ass map	control	19	11	13	20.5	5.2	
167	CA001-5-2	CA001	5	2	inv	ass map	control	21	23	14	26.8	5	
168	CA001-5-21	CA001	5	21	inv	ass map	control	18	36	32	22.4	4.1	
169	CA001-5-22	CA001	5	22	inv	ass map	control	17	5	21	20.5	2.7	
170	CA001-5-23	CA001	5	23	inv	ass map	control	15	14	12	26.2	4.6	
171	CA001-5-24	CA001	5	24	inv	ass map	control	23	45	11	26.9	4.6	
172	CA001-5-3	CA001	5	3	inv	ass map	control	18	32	21	18	3.7	
173	CA001-5-4	CA001	5	4	inv	ass map	control	22	50	17	16.6	2.9	
174	CA001-5-5	CA001	5	5	inv	ass map	control	20	31	22	19.6	2.6	
175	CA001-5-6	CA001	5	6	inv	ass map	control	23	23	NA	NA	NA	
176	CA001-5-7	CA001	5	7	inv	ass map	control	21	16	36	26.1	5	
177	CA001-5-8	CA001	5	8	inv	ass map	control	14	31	16	20.7	3.8	
178	CA001-5-9	CA001	5	9	inv	ass map	control	23	30	NA	NA	NA	
179	CA001-6-2	CA001	6	2	inv	mat fx	cut	8	38	15	0	0	
180	CA001-7-1	CA001	7	1	inv	ass map	control	14	3	10	18.6	5.5	
181	CA001-7-10	CA001	7	10	inv	ass map	control	17	15	15	23.7	4.8	
182	CA001-7-2	CA001	7	2	inv	ass map	control	15	9	27	20.1	5.2	
183	CA001-7-3	CA001	7	3	inv	ass map	control	18	49	16	21.7	4.1	
184	CA001-7-4	CA001	7	4	inv	ass map	control	20	25	14	17.8	4.1	
185	CA001-7-5	CA001	7	5	inv	mat fx	nut def	11	36	12	21.6	5.6	
186	CA001-7-6	CA001	7	6	inv	ass map	control	21	9	13	24.3	4.9	
187	CA001-7-7	CA001	7	7	inv	ass map	control	20	41	11	13.5	2.4	
188	CA001-7-9	CA001	7	9	inv	ass map	control	21	34	13	22.3	5	
189	CA001-8-1	CA001	8	1	inv	ass map	control	12	29	17	23.9	4.3	
190	CA001-8-12	CA001	8	12	inv	ass map	control	23	1	17	18.8	4.6	
191	CA001-8-13	CA001	8	13	inv	ass map	control	16	30	15	17.8	4.1	
192	CA001-8-14	CA001	8	14	inv	ass map	control	13	36	15	15.2	4.2	
193	CA001-8-15	CA001	8	15	inv	ass map	control	20	50	10	17.1	4.2	
194	CA001-8-16	CA001	8	16	inv	ass map	control	12	12	19	21.1	4.8	
195	CA001-8-17	CA001	8	17	inv	ass map	control	19	29	19	21.3	4.1	
196	CA001-8-18	CA001	8	18	inv	ass map	control	14	20	18	17.2	4	
197	CA001-8-2	CA001	8	2	inv	ass map	control	23	25	NA	NA	NA	
198	CA001-8-20	CA001	8	20	inv	ass map	control	15	50	19	19	5.2	
199	CA001-8-21	CA001	8	21	inv	ass map	control	15	7	13	22.1	4.5	
200	CA001-8-22	CA001	8	22	inv	ass map	control	19	40	17	25.2	4.1	
201	CA001-8-23	CA001	8	23	inv	ass map	control	19	1	12	27.2	6.5	
202	CA001-8-24	CA001	8	24	inv	mat fx	control	7	12	15	18.9	4.6	
203	CA001-8-25	CA001	8	25	inv	ass map	control	23	18	14	22.6	3.8	
204	CA001-8-3	CA001	8	3	inv	ass map	control	22	1	18	18.5	5.6	
205	CA001-8-4	CA001	8	4	inv	ass map	control	13	49	11	18.5	5.1	
206	CA001-8-5	CA001	8	5	inv	ass map	control	22	20	13	19.5	5.2	
207	CA001-8-7	CA001	8	7	inv	ass map	control	22	45	13	132	3.2	
208	CA001-8-8	CA001	8	8	inv	ass map	control	12	3	17	20.8	4.1	
209	CA001-8-9	CA001	8	9	inv	ass map	control	23	8	27	19.7	5.2	
210	CA001-9-1	CA001	9	1	inv	ass map	control	13	7	12	20.4	5.4	
211	CA001-9-10	CA001	9	10	inv	ass map	control	22	25	14	24.4	5.4	
