PopID	Rack	Pos	Mom	Indiv	Origin	Trt	ID	MsrDayH	LfCountH	LfLgthH	LfWdthH	BoltedatH	HarvestDay	CrownDiam.mm	ShootMass.g	RootMass.g	LfCount2	LfLgth2	LfWdth2	LfYellow2	BoltHt2	LfCount1	LfLgth1	LfWdth1	Note	BoltDate	BoltMsrDate	BCount1	BoltMsrDate2	BCount2	MaxBoltHt2	OtherBoltHt2	BoltMsrDate3	BCount3	MaxBoltHt3	OtherBoltHt3	FlrDate	FlrColor	FlrNotes	LfCount1.sq	LfLgth1.log	LfWdth1.log	LfCount2.sq	LfLgth2.log	LfWdth2.log	LfCountH.sq	LfLgthH.log	LfWdthH.log	CrownH.log	ShootH.log	RootH.log	lxwH	lxwH.log	Latitude	Longitude	bolt.bin
23	CA001	44	9	2	i	inv	cont	CA001.2.i	84	14	23.2	6.3	n	84	8.46	3.987	3.185	12	20.7	5.7	y	NA	10	17	4.3		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			3.16227766016838	2.83321334405622	1.45861502269952	3.46410161513775	3.03013370027132	1.7404661748405	3.74165738677394	3.14415227867226	1.84054963339749	2.13534917361813	1.38303906839922	1.15845228902413	146.16	4.98470191206975	49.0149388888889	-122.882097222222	0
24	CA001	12	32	7	i	inv	cont	CA001.7.i	86	19	23.8	6.4	n	85	10.31	4.127	2.063	14	21	4.9	y	NA	13	14.7	3.4		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			3.60555127546399	2.68784749378469	1.22377543162212	3.74165738677394	3.04452243772342	1.58923520511658	4.35889894354067	3.16968558067743	1.85629799036563	2.33311429802887	1.41755075077044	0.724161234089115	152.32	5.02598357104306	49.0149388888889	-122.882097222222	0
25	CA001	24	13	6	i	inv	cont	CA001.6.i	85	15	24	7.3	n	85	9.47	4.55	4.419	14	20.6	6.2	y	NA	13	14	4		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			3.60555127546399	2.63905732961526	1.38629436111989	3.74165738677394	3.02529107579554	1.82454929205105	3.87298334620742	3.17805383034795	1.98787434815435	2.24812890719799	1.51512723296286	1.4859134261486	175.2	5.16592817850229	49.0149388888889	-122.882097222222	0
26	CA001	7	6	2	a	inv	cont	CA001.2.a	86	10	27.8	5.9	n	86	8.54	4.148	2.103	10	19.1	4.2	n	NA	12	19.1	4.1		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			3.46410161513775	2.94968833505258	1.41098697371026	3.16227766016838	2.94968833505258	1.43508452528932	3.16227766016838	3.32503602069659	1.77495235091167	2.14476100780048	1.42262629036728	0.743364896720563	164.02	5.09998837160826	49.0149388888889	-122.882097222222	0
27	CA007	18	17	2	d	inv	cont	CA007.2.d	85	15	22.4	6.5	n	85	8.59	4.132	4.682	16	24.5	4.6	y	NA	10	13.2	3.1		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			3.16227766016838	2.58021682959233	1.1314021114911	4	3.19867311755068	1.52605630349505	3.87298334620742	3.10906095886099	1.87180217690159	2.15059873599616	1.41876155125739	1.54372536906872	145.6	4.98086313576259	49.2961027777778	-118.473830555556	0
28	CA007	5	7	3	a	inv	cont	CA007.3.a	85	19	26.7	6.1	n	86	8.64	2.476	1.078	14	24.7	6.1	y	NA	8	15.4	2.6		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			2.82842712474619	2.73436750941958	0.955511445027436	3.74165738677394	3.20680324363393	1.80828877117927	4.35889894354067	3.2846635654062	1.80828877117927	2.15640258281596	0.90664435482235	0.0751074724868055	162.87	5.09295233658547	49.2961027777778	-118.473830555556	0
29	CA007	9	32	4	b	inv	cont	CA007.4.b	85	21	21.2	6.4	n	85	8.56	4.057	4.615	17	18.7	5.2	y	NA	10	12.1	3.2		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			3.16227766016838	2.4932054526027	1.16315080980568	4.12310562561766	2.92852352386054	1.64865862558738	4.58257569495584	3.05400118167797	1.85629799036563	2.14710019015365	1.40044378422431	1.52931186795482	135.68	4.91029917204359	49.2961027777778	-118.473830555556	0
30	CA008	9	47	6	h	inv	cont	CA008.6.h	85	17	24.7	5.9	n	85	8.22	3.799	1.643	14	22	4.6	y	NA	8	11.9	3.1		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			2.82842712474619	2.47653840011748	1.1314021114911	3.74165738677394	3.09104245335832	1.52605630349505	4.12310562561766	3.20680324363393	1.77495235091167	2.10657020906809	1.33473787420549	0.496523839055131	145.73	4.98175559454561	49.0120833333333	-118.645711111111	0
31	CA008	18	40	5	i	inv	cont	CA008.5.i	85	13	23.6	5.7	n	85	9.72	2.785	1.935	17	26	8.1	n	NA	12	12.5	1.3		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			3.46410161513775	2.52572864430826	0.262364264467491	4.12310562561766	3.25809653802148	2.09186406167839	3.60555127546399	3.16124671203156	1.7404661748405	2.27418561847235	1.02424787337925	0.660107326481745	134.52	4.90171288687207	49.0120833333333	-118.645711111111	0
32	CA008	25	12	5	c	inv	cont	CA008.5.c	85	13	25.2	6.3	n	85	8.25	2.821	2.102	13	28.5	4.3	n	NA	13	11.5	3		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			3.60555127546399	2.4423470353692	1.09861228866811	3.60555127546399	3.3499040872746	1.45861502269952	3.60555127546399	3.22684399451738	1.84054963339749	2.11021320034659	1.03709143201986	0.742889272454759	158.76	5.06739362791486	49.0120833333333	-118.645711111111	0
