Rack	Pos	Barcode	Origin	Exp	Trt	comment	PopID	CrossNum	Indiv	LfCountH	LfLgthH	LfWdthH	BoltedatH	BoltCountH	MaxBoltHtH	HBoltHt1	HBoltHt2	HBoltHt3	HBoltHt4	HBoltHt5	HBoltHt6	HBoltHt7	FlrHeadCount	HarvNotes	CrownDiam.mm	ShootMass.g	MsrHarvest2	LfCount2	LfLgth2	LfWdth2	LfCount1	LfLgth1	LfWdth1	comments	Note	BoltDate	FlwrDate	FlwrCol	FlwrNote	SLAmass.g	SLAarea	SLAdate	HarvestDay	BoltDay	MsrHarvest	MassNotes	MsrHarvest3	Wilt	TotWilt	Yellow	Death	Float	BoltMsrDate	BoltCount1	MaxBoltHt1	OtherBoltHt1	BoltMsr	BoltCount2	MaxBoltHt2	OtherBoltHt2	BoltMsrDate3	BoltCount3	MaxBoltHt3	OtherBoltHt3
25	6	49	US002-5-3	inv	mat fx	control		US002	5	3	37	0	0	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		0.9	NA	2010-10-19	21	0	0	18	11.6	3.5							NA	NA	10/19/2010	84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
26	6	50	US003-8-2	inv	mat fx	control		US003	8	2	16	18.8	4.8	y	1	3	3	NA	NA	NA	NA	NA	NA	0		0.8	3.295	2010-10-19	18	13.2	4.8	15	12.2	3.2			10/8/2010				0.106	15.46	10/19/2010	84	73	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
27	7	1	BG001-3-2	nat	mat fx	control		BG001	3	2	0	NA	0	y	1	28.3	28.3	NA	NA	NA	NA	NA	NA	13		0.7	2.726	2010-10-21	15	13.4	4.4	11	13.5	4.4			9/30/2010				0.075	11.876	10/18/2010	86	65	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
28	7	3	TR001-9-18	nat	mat fx	control		TR001	9	18	12	21	3.4	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		1	1.695	2010-10-21	10	16.5	3.7	13	17.5	3.3							0.129	18.893	10/18/2010	86	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
29	7	5	US003-16-11	inv	mat fx	control		US003	16	11	NA	NA	NA	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	3.445	2010-10-21	16	17.8	4.1	14	18.4	4.1							0.122	17.082	10/18/2010	86	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
30	7	7	US001-10-5	inv	mat fx	control		US001	10	5	15	21	2.5	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		1	3.484	2010-10-21	9	16.2	3.8	12	16	3.5							0.194	25.093	10/18/2010	86	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
31	7	9	TR001-3-1	nat	mat fx	control		TR001	3	1	16	22	3.1	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		0.6	2.177	2010-10-21	12	18.2	3.1	12	14.8	2.9							0.108	14.419	10/18/2010	86	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
32	7	10	US003-7-4	inv	mat fx	control		US003	7	4	17	18	3.1	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		0.8	1.96	2010-10-21	7	21.3	3.1	11	21.9	5.1							0.132	13.089	10/18/2010	86	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
33	7	12	CA001-8-24	inv	mat fx	control		CA001	8	24	23	20.4	3.4	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		0.9	4.371	2010-10-21	15	18.9	4.6	13	16.2	3.6							0.173	NA	10/18/2010	86	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
34	7	14	US002-3-23	inv	mat fx	control		US002	3	23	21	27	6.2	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		0.7	3.701	2010-10-21	22	24	5.2	14	16.4	4.2							0.204	30.57	10/18/2010	86	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
