PopID	CrossID	CrossNum	SeedCount	GermCount	GermAvgDate	Mom	MomFam	MomIndiv	DadID	DadFam	DadIndiv	Origin	BegCrossDate	WtCount	TotSeedWt	SeedWt	GermPercent	Latitude	Longitude
30	CA001	CA001-12	12	20	19	2.210526316	3N	3	N	4L	4	L	inv	1/20/2010	19	0.0339	0.001784211	95	49.0149388888889	-122.882097222222
31	CA001	CA001-13	13	3	3	2.333333333	3N	3	N	3O	3	O	inv	1/20/2010	3	0.0051	0.0017	100	49.0149388888889	-122.882097222222
32	CA001	CA001-14	14	1	1	2	4L	4	L	7L	7	L	inv	3/17/2010	1	0.0027	0.0027	100	49.0149388888889	-122.882097222222
33	CA001	CA001-15	15	8	7	2.428571429	4L	4	L	3O	3	O	inv	1/12/2009	8	0.0154	0.001925	87.5	49.0149388888889	-122.882097222222
34	CA001	CA001-16	16	10	9	2.666666667	4L	4	L	2M	2	M	inv	1/27/2010	10	0.0215	0.00215	90	49.0149388888889	-122.882097222222
35	CA001	CA001-17	17	14	14	2.642857143	7L	7	L	3N	3	N	inv	3/7/2010	11	0.027	0.002454545	100	49.0149388888889	-122.882097222222
36	CA001	CA001-18	18	2	2	2	7L	7	L	3O	3	O	inv	3/7/2010	2	0.004	0.002	100	49.0149388888889	-122.882097222222
37	CA001	CA001-19	19	3	3	2	7L	7	L	2M	2	M	inv	3/7/2010	3	0.006	0.002	100	49.0149388888889	-122.882097222222
38	CA001	CA001-20	20	13	13	2.538461538	7L	7	L	4L	4	L	inv	3/7/2010	22	0.025	0.001136364	100	49.0149388888889	-122.882097222222
39	GR002	GR002-1	1	3	3	2	25L	25	L	17M	17	M	nat	3/17/2010	3	0.0061	0.002033333	100	40.6213888888889	23.0786111111111
40	GR002	GR002-2	2	1	0	NA	25L	25	L	25K	25	K	nat	1/21/2010	1	1e-04	1e-04	0	40.6213888888889	23.0786111111111
41	GR002	GR002-3	3	3	3	2	25M	25	M	13K	13	K	nat	1/14/2010	3	0.0061	0.002033333	100	40.6213888888889	23.0786111111111
42	GR002	GR002-4	4	1	1	2	13K	13	K	25L	25	L	nat	1/19/2010	1	0.0023	0.0023	100	40.6213888888889	23.0786111111111
43	GR002	GR002-5	5	1	1	2	13K	13	K	25M	25	M	nat	1/19/2010	1	0.0021	0.0021	100	40.6213888888889	23.0786111111111
44	GR002	GR002-6	6	2	2	2	13K	13	K	17M	17	M	nat	3/17/2010	2	0.0046	0.0023	100	40.6213888888889	23.0786111111111
45	GR002	GR002-7	7	1	0	NA	25K	25	K	2K	2	K	nat	1/27/2010	1	0.0017	0.0017	0	40.6213888888889	23.0786111111111
46	GR002	GR002-8	8	2	1	2	25K	25	K	25M	25	M	nat	1/19/2010	2	0.0028	0.0014	50	40.6213888888889	23.0786111111111
47	GR002	GR002-9	9	9	9	2	25K	25	K	13K	13	K	nat	1/19/2010	9	0.0132	0.001466667	100	40.6213888888889	23.0786111111111
48	GR002	GR002-10	10	4	4	2.25	23N	23	N	20L	20	L	nat	3/17/2010	4	0.007	0.00175	100	40.6213888888889	23.0786111111111
49	RU008	RU008-1	1	2	2	2	17K	17	K	21N	21	N	nat	1/27/2010	2	0.0039	0.00195	100	44.05	43.06000278
50	RU008	RU008-2	2	2	2	2	16N	16	N	21N	21	N	nat	1/27/2010	2	0.0041	0.00205	100	44.05	43.06000278
51	RU008	RU008-3	3	1	1	2	17K	17	K	21M	21	M	nat	2/26/2010	1	0.0021	0.0021	100	44.05	43.06000278
52	RU008	RU008-4	4	1	1	3	17L	17	L	21N	21	N	nat	1/27/2010	1	0.0014	0.0014	100	44.05	43.06000278
53	RU008	RU008-5	5	11	10	2.1	21N	21	N	17K	17	K	nat	1/27/2010	11	0.0197	0.001790909	90.9090909090909	44.05	43.06000278
54	RU008	RU008-6	6	1	1	3	21N	21	N	16N	16	N	nat	1/27/2010	1	0.0019	0.0019	100	44.05	43.06000278
55	RU008	RU008-7	7	1	1	2	21N	21	N	17L	17	L	nat	1/27/2010	1	0.0021	0.0021	100	44.05	43.06000278
56	RU008	RU008-8	8	7	7	2.285714286	21M	21	M	17K	17	K	nat	2/26/2010	7	0.0124	0.001771429	100	44.05	43.06000278
57	RU008	RU008-9	9	5	5	2.4	21M	21	M	16N	16	N	nat	1/20/2010	6	0.0111	0.00185	100	44.05	43.06000278
58	RU008	RU008-10	10	1	1	2	21M	21	M	17L	17	L	nat	1/20/2010	1	0.0019	0.0019	100	44.05	43.06000278
59	RU008	RU008-11	11	2	2	3	12M	12	M	16N	16	N	nat	2/26/2010	2	0.0037	0.00185	100	44.05	43.06000278
60	TR001	TR001-1	1	2	2	3	12M	12	M	29K	29	K	nat	1/27/2010	2	0.0028	0.0014	100	41.7511111111111	27.2477777777778
61	TR001	TR001-2	2	2	2	2.5	12M	12	M	1K	1	K	nat	2/26/2010	2	0.0037	0.00185	100	41.7511111111111	27.2477777777778
62	TR001	TR001-3	3	3	3	2	12M	12	M	10A	10	A	nat	2/9/2010	3	0.0053	0.001766667	100	41.7511111111111	27.2477777777778
63	TR001	TR001-4	4	3	1	2	19N	19	N	12M	12	M	nat	1/27/2010	3	0.002	0.000666667	33.3333333333333	41.7511111111111	27.2477777777778
64	TR001	TR001-5	5	2	2	2	10A	10	A	12M	12	M	nat	1/16/2010	2	0.0039	0.00195	100	41.7511111111111	27.2477777777778
65	TR001	TR001-6	6	7	7	2.714285714	12K	12	K	1K	1	K	nat	2/26/2010	8	0.0139	0.0017375	100	41.7511111111111	27.2477777777778
66	TR001	TR001-7	7	1	1	3	1K	1	K	12M	12	M	nat	2/26/2010	1	0.002	0.002	100	41.7511111111111	27.2477777777778
67	TR001	TR001-8	8	1	1	2	1K	1	K	12K	12	K	nat	2/26/2010	1	0.002	0.002	100	41.7511111111111	27.2477777777778
68	TR001	TR001-9	9	30	27	2.148148148	29K	29	K	12M	12	M	nat	1/27/2010	35	0.029	0.000828571	90	41.7511111111111	27.2477777777778
69	TR001	TR001-10	10	5	4	2.75	29K	29	K	1K	1	K	nat	2/26/2010	5	0.005	0.001	80	41.7511111111111	27.2477777777778
70	US001	US001-1	1	1	1	2	22N	22	N	23D	23	D	inv	1/25/2010	1	0.0019	0.0019	100	45.6152333333333	-120.787533333333
71	US001	US001-2	2	5	4	2.25	22N	22	N	23N	23	N	inv	1/25/2010	5	0.0095	0.0019	80	45.6152333333333	-120.787533333333
72	US001	US001-3	3	1	1	2	22M	22	M	22N	22	N	inv	1/28/2010	1	0.0017	0.0017	100	45.6152333333333	-120.787533333333
73	US001	US001-4	4	10	10	2.1	22M	22	M	23N	23	N	inv	1/27/2010	10	0.0163	0.00163	100	45.6152333333333	-120.787533333333
74	US001	US001-5	5	3	3	2	22M	22	M	20M	20	M	inv	1/21/2010	3	0.0051	0.0017	100	45.6152333333333	-120.787533333333
75	US001	US001-6	6	6	5	2	23N	23	N	22N	22	N	inv	1/25/2010	6	0.014	0.002333333	83.3333333333333	45.6152333333333	-120.787533333333
76	US001	US001-7	7	14	11	2	23N	23	N	23D	23	D	inv	3/1/2010	14	0.026	0.001857143	78.5714285714286	45.6152333333333	-120.787533333333
77	US001	US001-8	8	3	3	2	23N	23	N	20M	20	M	inv	1/25/2010	3	0.006	0.002	100	45.6152333333333	-120.787533333333
78	US001	US001-9	9	7	7	2.142857143	23N	23	N	20L	20	L	inv	3/1/2010	7	0.013	0.001857143	100	45.6152333333333	-120.787533333333
79	US001	US001-10	10	8	8	2	20L	20	L	5L	5	L	inv	3/17/2010	8	0.02	0.0025	100	45.6152333333333	-120.787533333333
80	US001	US001-11	11	1	1	2	20L	20	L	23N	23	N	inv	3/1/2010	1	0.003	0.003	100	45.6152333333333	-120.787533333333
81	US001	US001-12	12	3	2	2	20L	20	L	22M	22	M	inv	3/1/2010	3	0.008	0.002666667	66.6666666666667	45.6152333333333	-120.787533333333
82	US002	US002-1	1	2	2	2	17L	17	L	24K	24	K	inv	1/26/2010	1	0.0032	0.0032	100	46.1822666666667	-118.82615
83	US002	US002-2	2	3	3	2	22K	22	K	24K	24	K	inv	1/20/2010	3	0.0048	0.0016	100	46.1822666666667	-118.82615
84	US002	US002-3	3	31	28	2.035714286	22K	22	K	5K	5	K	inv	1/25/2010	31	0.0416	0.001341935	90.3225806451613	46.1822666666667	-118.82615
85	US002	US002-4	4	1	1	2	22L	22	L	24K	24	K	inv	1/28/2010	1	0.0023	0.0023	100	46.1822666666667	-118.82615
86	US002	US002-5	5	12	12	2.083333333	22L	22	L	1M	1	M	inv	1/26/2010	12	0.0132	0.0011	100	46.1822666666667	-118.82615
87	US002	US002-6	6	5	5	3.2	24K	24	K	5K	5	K	inv	1/25/2010	5	0.0056	0.00112	100	46.1822666666667	-118.82615
88	US003	US003-1	1	1	0	NA	27M	27	M	27N	27	N	inv	2/7/2010	1	0.001	0.001	0	46.60415	-116.64175
89	US003	US003-2	2	2	2	2	6K	6	K	20K	20	K	inv	1/14/2010	2	0.003	0.0015	100	46.60415	-116.64175
90	US003	US003-3	3	22	22	2	20K	20	K	27M	27	M	inv	1/27/2010	22	0.0351	0.001595455	100	46.60415	-116.64175
91	US003	US003-4	4	4	4	2.25	20K	20	K	28L	28	L	inv	1/20/2010	4	0.0083	0.002075	100	46.60415	-116.64175
92	US003	US003-5	5	9	8	2	20K	20	K	19K	19	K	inv	1/14/2010	9	0.0146	0.001622222	88.8888888888889	46.60415	-116.64175
93	US003	US003-6	6	3	3	2	20K	20	K	27N	27	N	inv	1/12/2010	3	0.0056	0.001866667	100	46.60415	-116.64175
94	US003	US003-7	7	14	14	2	27M	27	M	28L	28	L	inv	1/27/2010	14	0.0173	0.001235714	100	46.60415	-116.64175
95	US003	US003-8	8	7	7	2.142857143	27M	27	M	19K	19	K	inv	1/27/2010	7	0.0117	0.001671429	100	46.60415	-116.64175
96	US003	US003-9	9	15	15	2.866666667	27M	27	M	20K	20	K	inv	1/27/2010	15	0.0213	0.00142	100	46.60415	-116.64175
97	US003	US003-10	10	2	2	2	28L	28	L	19K	19	K	inv	2/2/2010	2	0.0036	0.0018	100	46.60415	-116.64175
98	US003	US003-11	11	17	16	2	28L	28	L	20K	20	K	inv	1/27/2010	17	0.0222	0.001305882	94.1176470588235	46.60415	-116.64175
99	US003	US003-12	12	6	6	2.166666667	28L	28	L	27N	27	N	inv	1/20/2010	6	0.0108	0.0018	100	46.60415	-116.64175
100	US003	US003-13	13	9	8	2	28L	28	L	6K	6	K	inv	1/20/2010	9	0.0129	0.001433333	88.8888888888889	46.60415	-116.64175
101	US003	US003-14	14	10	10	2.1	28L	28	L	27M	27	M	inv	1/27/2010	10	0.0157	0.00157	100	46.60415	-116.64175
102	US003	US003-15	15	5	5	2	19K	19	K	27N	27	N	inv	1/12/2010	5	0.0065	0.0013	100	46.60415	-116.64175
103	US003	US003-16	16	14	14	2.428571429	19K	19	K	20K	20	K	inv	1/14/2010	11	0.0185	0.001681818	100	46.60415	-116.64175
104	US003	US003-17	17	3	3	2	19K	19	K	28L	28	L	inv	2/2/2010	3	0.0039	0.0013	100	46.60415	-116.64175
105	US003	US003-18	18	1	1	2	19K	19	K	27M	27	M	inv	1/27/2010	1	0.0018	0.0018	100	46.60415	-116.64175
