PopID	CrossNum	Rack	Pos	Barcode	Origin	Exp	Trt	Indiv	LfCount1	LfLgth1	LfWdth1	comments	Yellow	Death	DeathDay	LfCountH	LfLgthH	LfWdthH	BoltedatH	BoltCountH	MaxBoltHtH	HBoltHt1	FlrHeadCount	CrownDiam.mm	ShootMass.g	MsrHarvest2	LfCount2	LfLgth2	LfWdth2	BoltDate	SLAmass.g	SLAarea	SLAdate	BoltDay	MsrHarvest3	comment	FlwrDate	FlwrCol	HBoltHt2	HarvNotes	HarvestDay	HBoltHt3	FlwrNote	sla	Crown.mmA	Mass.gA	Wilt	TotWilt	WiltDay	TotWiltDay	Float	YellowDay	FloatDay	Latitude	Longitude	lxw	Mom	MomFam	MomIndiv	DadID	DadFam	DadIndiv
24	BG001	2	12	21	BG001-2-1	nat	ass map	control	1	21	11.7	4.2		NA	NA	NA	7	19.6	4.7	y	1	19.5	19.5	41	0.8	2.898	2010-10-19	15	12.7	3.9	9/16/2010	0.063	13.645	9/28/2010	51	NA				NA		84	NA	NA	216.587301587302	NA	NA	NA	NA	NA	NA	NA	NA	NA	43.3819444444444	28.4575	49.14	29M	29	M	25N	25	N
25	BG001	3	7	1	BG001-3-2	nat	mat fx	control	2	11	13.5	4.4	NA	NA	NA	NA	0	NA	0	y	1	28.3	28.3	13	0.7	2.726	2010-10-21	15	13.4	4.4	9/30/2010	0.075	11.876	10/18/2010	65	NA				NA		86	NA	NA	158.346666666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	43.3819444444444	28.4575	59.4	16N	16	N	25L	25	L
26	BG001	3	8	50	BG001-3-1	nat	mat fx	cut	1	14	15	4.7	NA	NA	NA	NA	27	0	0	n	NA	NA	NA	NA	0.85	NA	2010-10-18	17	0	0		NA	NA	10/18/2010	NA	83	NA			NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	43.3819444444444	28.4575	70.5	16N	16	N	25L	25	L
27	BG001	4	17	31	BG001-4-1	nat	ass map	control	1	17	10.2	2.2		NA	NA	NA	4	14.7	4	y	1	28	28	12	0.8	2.209	2010-10-20	14	12	4.1	9/27/2010	0.059	19.48	9/28/2010	62	NA				NA		85	NA	NA	330.169491525424	NA	NA	NA	NA	NA	NA	NA	NA	NA	43.3819444444444	28.4575	22.44	22N	22	N	25N	25	N
28	BG001	5	18	3	BG001-5-2	nat	ass map	control	2	16	10.6	3.2		NA	NA	NA	12	23.9	5.1	y	1	32.5	32.5	18	0.85	4.266	2010-10-20	19	13.7	4.5	9/30/2010	0.083	16.693	10/18/2010	65	NA				NA		85	NA	NA	201.120481927711	NA	NA	NA	NA	NA	NA	NA	NA	NA	43.3819444444444	28.4575	33.92	22N	22	N	29M	29	M
29	BG001	5	9	18	BG001-5-5	nat	mat fx	drought	5	14	11.8	2.6		NA	8/5/2010	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8/1/2010	8/3/2010	5	7	NA	NA	NA	43.3819444444444	28.4575	30.68	22N	22	N	29M	29	M
30	BG001	5	9	36	BG001-5-6	nat	mat fx	drought	6	14	10.6	2.8		NA	8/2/2010	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7/30/2010	8/1/2010	3	5	NA	NA	NA	43.3819444444444	28.4575	29.68	22N	22	N	29M	29	M
31	BG001	5	13	5	BG001-5-4	nat	ass map	control	4	11	9.6	3		NA	NA	NA	8	25.5	5.6	n	NA	NA	NA	NA	0.4	1.232	2010-10-21	13	11.9	3.2		0.078	24.535	10/15/2010	NA	NA				NA		86	NA	NA	314.551282051282	NA	NA	NA	NA	NA	NA	NA	NA	NA	43.3819444444444	28.4575	28.8	22N	22	N	29M	29	M
32	BG001	6	13	8	BG001-6-1	nat	ass map	control	1	14	13.2	3.7		NA	NA	NA	3	19.5	1	y	1	30.1	30.1	15	0.7	2.338	2010-10-21	19	15.2	2.2	9/30/2010	0.041	7.298	10/15/2010	65	NA				NA		86	NA	NA	178	NA	NA	NA	NA	NA	NA	NA	NA	NA	43.3819444444444	28.4575	48.84	22O	22	O	25L	25	L
33	BG001	6	19	12	BG001-6-3	nat	ass map	control	3	15	15	3.6		NA	NA	NA	17	23.8	5.3	n	NA	NA	NA	NA	1.2	2.824	2010-10-21	14	20.4	2.6		0.126	21.565	10/14/2010	NA	NA				NA		86	NA	NA	171.150793650794	NA	NA	NA	NA	NA	NA	NA	NA	NA	43.3819444444444	28.4575	54	22O	22	O	25L	25	L
34	BG001	8	14	34	BG001-8-4	nat	ass map	control	4	14	18.4	4.8		NA	NA	NA	1	21.9	4.5	y	1	40	40	53	0.7	2.937	2010-10-19	15	18	4.6	9/16/2010	0.193	9.545	10/14/2010	51	NA				NA		84	NA	NA	49.4559585492228	NA	NA	NA	NA	NA	NA	NA	NA	NA	43.3819444444444	28.4575	88.32	25L	25	L	16N	16	N
35	BG001	8	8	43	BG001-8-5	nat	mat fx	cut	5	13	19.5	5.2	NA	NA	NA	NA	22	0	0	y	1	8	8	NA	0.8	NA	2010-10-18	16	0	0	10/18/2010	NA	NA	10/18/2010	83	83	NA			NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	43.3819444444444	28.4575	101.4	25L	25	L	16N	16	N
36	BG001	8	6	29	BG001-8-1	nat	mat fx	control	1	15	16.2	4.2	NA	NA	NA	NA	0	0	0	y	1	39.5	39.5	194	0.95	6.468	2010-10-19	32	25.7	4.5	9/10/2010	NA	30.457	10/19/2010	45	NA		10/19/2010	light purple	NA	LGT PRPL	84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	43.3819444444444	28.4575	68.04	25L	25	L	16N	16	N
37	BG001	8	22	18	BG001-8-2	nat	ass map	control	2	9	16.2	4.9	BOLTED TWENTYFOURPFIVE	NA	NA	NA	0	0	0	y	1	33	33	395	0.75	6.393	2010-10-21	0	0	0	7/24/2010	NA	NA	NA	-3	NA	BOLT 32.5	9/30/2010	purple	NA	PRPL FLRS	86	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	43.3819444444444	28.4575	79.38	25L	25	L	16N	16	N
38	BG001	9	22	8	BG001-9-7	nat	ass map	control	7	14	17.5	4.1		NA	NA	NA	17	23.1	5.5	n	NA	NA	NA	NA	0.9	2.828	2010-10-21	20	20.8	4.7		0.133	NA	10/15/2010	NA	NA				NA		86	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	43.3819444444444	28.4575	71.75	25L	25	L	22N	22	N
39	BG001	9	16	1	BG001-9-10	nat	ass map	control	10	16	15.1	4.3	BOLTED ONEPFIVE	NA	NA	NA	0	0	0	y	1	20.3	20.3	95	0.6	3.474	2010-10-15	6	13.1	4	9/3/2010	NA	NA	NA	38	NA	BT 12.6	9/10/2010	pale purple	NA	FLR PURPLE	80	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	43.3819444444444	28.4575	64.93	25L	25	L	22N	22	N
40	BG001	9	23	5	BG001-9-12	nat	ass map	control	12	11	16.8	3.8		NA	NA	NA	6	24	5.2	y	1	38	38	16	0.8	2.515	2010-10-20	14	22.4	7	9/30/2010	0.087	24.436	10/19/2010	65	NA				NA		85	NA	NA	280.873563218391	NA	NA	NA	NA	NA	NA	NA	NA	NA	43.3819444444444	28.4575	63.84	25L	25	L	22N	22	N
41	BG001	9	11	34	BG001-9-5	nat	mat fx	nut def	5	10	17.9	2.9	NA	8/5/2010	NA	NA	15	17.9	2.9	n	NA	NA	NA	NA	0.5	0.701	2010-10-13	12	17.8	3.2		0.05	5.897	10/13/2010	NA	78	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	43.3819444444444	28.4575	51.91	25L	25	L	22N	22	N
