Barcode	PopID	CrossNum	Indiv	Origin	Exp	Trt	Rack	Pos	LfCount1	LfLgth1	LfWdth1	comments
US003-14-3	US003-14-3	US003	14	3	inv	mat fx	drought	9	41	15	25.1	5.6	
US003-14-4	US003-14-4	US003	14	4	inv	array	drought 3	3	36	15	20.3	4.1	
US003-14-5	US003-14-5	US003	14	5	inv	ass map	control	13	23	23	18.1	4.9	
US003-14-6	US003-14-6	US003	14	6	inv	mat fx	allo	5	50	12	19	5.4	
US003-14-7	US003-14-7	US003	14	7	inv	ass map	control	17	21	15	18.7	4.3	
US003-14-8	US003-14-8	US003	14	8	inv	mat fx	drought	9	50	16	21.2	4.4	
US003-14-9	US003-14-9	US003	14	9	inv	ass map	control	20	9	20	19.3	5.2	
US003-15-1	US003-15-1	US003	15	1	inv	ass map	control	17	45	26	18.9	5.6	
US003-15-2	US003-15-2	US003	15	2	inv	mat fx	flood	10	12	30	18.6	5.4	
US003-15-3	US003-15-3	US003	15	3	inv	ass map	control	19	36	29	20	3.8	
US003-15-4	US003-15-4	US003	15	4	inv	ass map	control	22	34	16	16.4	5.2	
US003-15-5	US003-15-5	US003	15	5	inv	ass map	control	21	12	24	13.8	6.1	
US003-16-1	US003-16-1	US003	16	1	inv	ass map	control	18	27	15	16.7	3.9	
US003-16-10	US003-16-10	US003	16	10	inv	mat fx	nut def	11	50	17	18.6	4.7	
US003-16-11	US003-16-11	US003	16	11	inv	mat fx	control	7	5	14	18.4	4.1	
US003-16-12	US003-16-12	US003	16	12	inv	ass map	control	13	11	15	20.4	4.3	
US003-16-13	US003-16-13	US003	16	13	inv	ass map	control	19	18	14	18.3	5.9	
US003-16-14	US003-16-14	US003	16	14	inv	mat fx	cut	8	29	12	21	5.3	
US003-16-2	US003-16-2	US003	16	2	inv	mat fx	cut	8	20	27	18.7	4.9	
US003-16-3	US003-16-3	US003	16	3	inv	array	control 1	2	32	13	19.5	4.2	
US003-16-4	US003-16-4	US003	16	4	inv	array	control 3	1	1	14	20.7	5.6	
US003-16-5	US003-16-5	US003	16	5	inv	ass map	control	12	45	16	20.1	4.4	
US003-16-6	US003-16-6	US003	16	6	inv	ass map	control	19	34	12	25.5	7.4	
US003-16-7	US003-16-7	US003	16	7	inv	ass map	control	16	11	16	22.4	5.4	
US003-16-8	US003-16-8	US003	16	8	inv	ass map	control	19	35	17	20.1	4.9	
US003-16-9	US003-16-9	US003	16	9	inv	array	control 2	2	41	13	17.9	5	
US003-17-1	US003-17-1	US003	17	1	inv	ass map	control	23	15	10	19.3	5	
US003-17-2	US003-17-2	US003	17	2	inv	array	drought 2	3	12	13	17.4	6.2	
US003-17-3	US003-17-3	US003	17	3	inv	ass map	control	18	7	14	15.5	4.2	
US003-18-1	US003-18-1	US003	18	1	inv	ass map	control	14	35	15	20.3	5.9	
US003-2-1	US003-2-1	US003	2	1	inv	mat fx	control	7	32	13	17.5	4.2	
US003-2-2	US003-2-2	US003	2	2	inv	ass map	control	22	14	32	16.8	5.8	
US003-3-1	US003-3-1	US003	3	1	inv	ass map	control	15	30	10	14.2	3.9	
US003-3-10	US003-3-10	US003	3	10	inv	mat fx	control	6	10	14	14.1	3.7	
US003-3-11	US003-3-11	US003	3	11	inv	ass map	control	16	25	17	15.7	2.9	
US003-3-12	US003-3-12	US003	3	12	inv	ass map	control	23	10	14	16.3	3.7	
US003-3-13	US003-3-13	US003	3	13	inv	ass map	control	20	49	11	19.2	4.8	
US003-3-14	US003-3-14	US003	3	14	inv	ass map	control	16	20	11	20.5	5	
US003-3-15	US003-3-15	US003	3	15	inv	ass map	control	13	29	15	19.8	5.8	
US003-3-16	US003-3-16	US003	3	16	inv	ass map	control	16	43	12	19.6	3.6	
US003-3-17	US003-3-17	US003	3	17	inv	ass map	control	20	45	12	19.8	4.9	
US003-3-18	US003-3-18	US003	3	18	inv	ass map	control	20	36	16	19	3.8	
US003-3-19	US003-3-19	US003	3	19	inv	ass map	control	18	1	16	19.1	5.4	
US003-3-2	US003-3-2	US003	3	2	inv	ass map	control	17	34	15	16.1	4.1	
US003-3-20	US003-3-20	US003	3	20	inv	array	control 1	2	38	20	15.8	4.6	
US003-3-21	US003-3-21	US003	3	21	inv	ass map	control	21	31	13	17	3.7	
US003-3-22	US003-3-22	US003	3	22	inv	ass map	control	22	15	14	17.2	4.9	
US003-3-3	US003-3-3	US003	3	3	inv	array	drought 1	3	41	9	16.6	4.1	
US003-3-4	US003-3-4	US003	3	4	inv	ass map	control	12	10	13	15.2	3.8	
US003-3-5	US003-3-5	US003	3	5	inv	ass map	control	19	50	15	16.2	4.2	
US003-3-6	US003-3-6	US003	3	6	inv	array	drought 1	3	3	14	17	4.1	
US003-3-7	US003-3-7	US003	3	7	inv	ass map	control	16	49	15	15.5	2.6	
US003-3-8	US003-3-8	US003	3	8	inv	ass map	control	18	15	15	14.9	3.8	
US003-3-9	US003-3-9	US003	3	9	inv	ass map	control	21	49	16	17	4.4	
US003-4-1	US003-4-1	US003	4	1	inv	ass map	control	16	41	14	20.2	3.8	
US003-4-2	US003-4-2	US003	4	2	inv	ass map	control	17	35	12	20.4	4.7	
US003-4-3	US003-4-3	US003	4	3	inv	mat fx	flood	10	1	14	20	4.8	
US003-4-4	US003-4-4	US003	4	4	inv	ass map	control	13	21	15	18.5	3.8	
US003-5-1	US003-5-1	US003	5	1	inv	ass map	control	14	41	17	22.7	5.1	
US003-5-2	US003-5-2	US003	5	2	inv	mat fx	nut def	11	10	15	20.5	5.2	
US003-5-3	US003-5-3	US003	5	3	inv	ass map	control	22	11	13	2.9	7	
US003-5-4	US003-5-4	US003	5	4	inv	ass map	control	19	47	26	20.3	5.6	
US003-5-5	US003-5-5	US003	5	5	inv	ass map	control	15	18	17	24.2	5.2	
US003-5-6	US003-5-6	US003	5	6	inv	array	drought 2	4	9	13	19.9	4	
US003-5-7	US003-5-7	US003	5	7	inv	ass map	control	14	30	18	21.1	5	
US003-5-8	US003-5-8	US003	5	8	inv	ass map	control	23	3	13	19.7	4.7	
US003-6-1	US003-6-1	US003	6	1	inv	ass map	control	14	1	29	19.6	4.1	
US003-6-2	US003-6-2	US003	6	2	inv	array	control 1	2	40	18	19.9	6.2	
US003-6-3	US003-6-3	US003	6	3	inv	ass map	control	17	49	25	17.4	4.9	
US003-7-1	US003-7-1	US003	7	1	inv	ass map	control	22	10	16	23.7	5.5	
US003-7-10	US003-7-10	US003	7	10	inv	ass map	control	21	41	11	21.4	5.2	
US003-7-11	US003-7-11	US003	7	11	inv	ass map	control	14	16	13	22.2	5.4	
US003-7-12	US003-7-12	US003	7	12	inv	array	drought 3	4	12	13	22	5.5	
US003-7-13	US003-7-13	US003	7	13	inv	ass map	control	13	35	12	25.3	6.2	
US003-7-2	US003-7-2	US003	7	2	inv	ass map	control	23	7	10	20.4	4.2	
US003-7-3	US003-7-3	US003	7	3	inv	ass map	control	16	47	11	21.5	4.1	
US003-7-4	US003-7-4	US003	7	4	inv	mat fx	control	7	10	11	21.9	5.1	
US003-7-5	US003-7-5	US003	7	5	inv	ass map	control	13	32	11	19.8	4.2	
US003-7-6	US003-7-6	US003	7	6	inv	ass map	control	16	45	11	20.6	3.4	
US003-7-7	US003-7-7	US003	7	7	inv	array	control 2	1	14	15	18.7	4	
US003-7-8	US003-7-8	US003	7	8	inv	ass map	control	16	8	13	21.5	6	
US003-7-9	US003-7-9	US003	7	9	inv	array	control 3	2	10	11	19.4	6.4	
US003-8-1	US003-8-1	US003	8	1	inv	ass map	control	17	16	10	12.9	4.3	
US003-8-2	US003-8-2	US003	8	2	inv	mat fx	control	6	50	15	12.2	3.2	
US003-8-3	US003-8-3	US003	8	3	inv	mat fx	drought	9	10	10	13.7	4.1	
US003-8-4	US003-8-4	US003	8	4	inv	ass map	control	12	27	27	16.5	4.8	
US003-8-5	US003-8-5	US003	8	5	inv	ass map	control	21	32	22	17.2	3.7	
US003-8-6	US003-8-6	US003	8	6	inv	ass map	control	20	5	15	15.6	5.2	
US003-8-7	US003-8-7	US003	8	7	inv	ass map	control	20	20	16	13.7	4.3	
US003-9-1	US003-9-1	US003	9	1	inv	ass map	control	17	7	17	21.2	5.2	
US003-9-10	US003-9-10	US003	9	10	inv	ass map	control	14	36	13	28.9	5	
US003-9-2	US003-9-2	US003	9	2	inv	mat fx	allo	5	10	15	21.2	4	
US003-9-3	US003-9-3	US003	9	3	inv	ass map	control	15	41	12	24.4	4.6	
US003-9-4	US003-9-4	US003	9	4	inv	ass map	control	18	21	12	22.5	5.6	
US003-9-5	US003-9-5	US003	9	5	inv	ass map	control	12	49	12	23.9	5.2	
US003-9-6	US003-9-6	US003	9	6	inv	ass map	control	13	1	13	21.2	3.6	
US003-9-7	US003-9-7	US003	9	7	inv	mat fx	control	7	50	23	18.6	4.9	
US003-9-8	US003-9-8	US003	9	8	inv	ass map	control	15	25	18	14.5	3.4	
US003-9-9	US003-9-9	US003	9	9	inv	array	drought 2	3	34	17	19.7	6.1	
