Barcode	PopID	CrossNum	Indiv	Origin	Exp	Trt	Rack	Pos	LfCount1	LfLgth1	LfWdth1	comments
CA001-5-19	CA001-5-19	CA001	5	19	inv	ass map	control	19	11	14	15.1	4.3	
CA001-5-2	CA001-5-2	CA001	5	2	inv	ass map	control	21	23	10	20.9	5.7	
CA001-5-20	CA001-5-20	CA001	5	20	inv	array	control 3	2	16	19	19.5	4.8	
CA001-5-21	CA001-5-21	CA001	5	21	inv	ass map	control	18	36	20	18.3	5.2	
CA001-5-22	CA001-5-22	CA001	5	22	inv	ass map	control	17	5	15	17.9	5	
CA001-5-23	CA001-5-23	CA001	5	23	inv	ass map	control	15	14	13	15.8	3.7	
CA001-5-24	CA001-5-24	CA001	5	24	inv	ass map	control	23	45	10	15	4.5	
CA001-5-3	CA001-5-3	CA001	5	3	inv	ass map	control	18	32	10	16.4	4.4	
CA001-5-4	CA001-5-4	CA001	5	4	inv	ass map	control	22	50	16	15	2.8	
CA001-5-5	CA001-5-5	CA001	5	5	inv	ass map	control	20	31	18	16.6	4	
CA001-5-6	CA001-5-6	CA001	5	6	inv	ass map	control	23	23	24	16	4.1	
CA001-5-7	CA001-5-7	CA001	5	7	inv	ass map	control	21	16	10	13.2	3.2	
CA001-5-8	CA001-5-8	CA001	5	8	inv	ass map	control	14	31	12	15.8	5	
CA001-5-9	CA001-5-9	CA001	5	9	inv	ass map	control	23	30	10	14.9	3.4	
CA001-6-2	CA001-6-2	CA001	6	2	inv	mat fx	cut	8	38	13	18.5	5.8	
CA001-7-1	CA001-7-1	CA001	7	1	inv	ass map	control	14	3	12	21.5	5.1	
CA001-7-10	CA001-7-10	CA001	7	10	inv	ass map	control	17	15	11	21.8	5.5	
CA001-7-2	CA001-7-2	CA001	7	2	inv	ass map	control	15	9	18	20.5	5.1	
CA001-7-3	CA001-7-3	CA001	7	3	inv	ass map	control	18	49	12	21.7	4.6	
CA001-7-4	CA001-7-4	CA001	7	4	inv	ass map	control	20	25	14	17.8	4.2	
CA001-7-5	CA001-7-5	CA001	7	5	inv	mat fx	nut def	11	36	11	21.5	5.1	
CA001-7-6	CA001-7-6	CA001	7	6	inv	ass map	control	21	9	10	17.8	4.9	
CA001-7-7	CA001-7-7	CA001	7	7	inv	ass map	control	20	41	11	15.5	3.6	
CA001-7-9	CA001-7-9	CA001	7	9	inv	ass map	control	21	34	11	20.5	5.6	
CA001-8-1	CA001-8-1	CA001	8	1	inv	ass map	control	12	29	16	19.8	5.5	
CA001-8-10	CA001-8-10	CA001	8	10	inv	array	drought 3	4	32	13	18.6	5.2	
CA001-8-11	CA001-8-11	CA001	8	11	inv	mat fx	flood	10	34	16	22.4	4.5	
CA001-8-12	CA001-8-12	CA001	8	12	inv	ass map	control	23	1	14	19.1	4.3	
CA001-8-13	CA001-8-13	CA001	8	13	inv	ass map	control	16	30	15	18.1	5.3	
CA001-8-14	CA001-8-14	CA001	8	14	inv	ass map	control	13	36	14	17.7	4.6	
CA001-8-15	CA001-8-15	CA001	8	15	inv	ass map	control	20	50	12	18.5	5.5	
CA001-8-16	CA001-8-16	CA001	8	16	inv	ass map	control	12	12	15	18.2	4.5	
CA001-8-17	CA001-8-17	CA001	8	17	inv	ass map	control	19	29	13	18.1	4.2	
CA001-8-18	CA001-8-18	CA001	8	18	inv	ass map	control	14	20	11	17.3	4.3	
CA001-8-19	CA001-8-19	CA001	8	19	inv	array	drought 2	4	45	13	16.7	4.2	
CA001-8-2	CA001-8-2	CA001	8	2	inv	ass map	control	23	25	11	19.6	5.2	
CA001-8-20	CA001-8-20	CA001	8	20	inv	ass map	control	15	50	14	19.1	4.9	
CA001-8-21	CA001-8-21	CA001	8	21	inv	ass map	control	15	7	9	18.6	3.8	
CA001-8-22	CA001-8-22	CA001	8	22	inv	ass map	control	19	40	9	19.1	5.5	
CA001-8-23	CA001-8-23	CA001	8	23	inv	ass map	control	19	1	10	18.8	5.3	
CA001-8-24	CA001-8-24	CA001	8	24	inv	mat fx	control	7	12	13	16.2	3.6	
CA001-8-25	CA001-8-25	CA001	8	25	inv	ass map	control	23	18	9	10	3.1	
CA001-8-3	CA001-8-3	CA001	8	3	inv	ass map	control	22	1	12	20	4.8	
CA001-8-4	CA001-8-4	CA001	8	4	inv	ass map	control	13	49	16	19.1	4.8	
CA001-8-5	CA001-8-5	CA001	8	5	inv	ass map	control	22	20	13	19.6	5.3	
CA001-8-6	CA001-8-6	CA001	8	6	inv	mat fx	drought	9	25	12	18.2	5.2	
CA001-8-7	CA001-8-7	CA001	8	7	inv	ass map	control	22	45	15	16.6	4.6	
CA001-8-8	CA001-8-8	CA001	8	8	inv	ass map	control	12	3	12	18.2	5.6	
CA001-8-9	CA001-8-9	CA001	8	9	inv	ass map	control	23	8	18	16.1	4	
CA001-9-1	CA001-9-1	CA001	9	1	inv	ass map	control	13	7	12	14.9	4.6	
CA001-9-10	CA001-9-10	CA001	9	10	inv	ass map	control	22	25	14	15.6	4.3	
CA001-9-11	CA001-9-11	CA001	9	11	inv	ass map	control	18	5	12	17.4	3.9	
CA001-9-12	CA001-9-12	CA001	9	12	inv	ass map	control	21	40	14	18.6	4.6	
CA001-9-13	CA001-9-13	CA001	9	13	inv	ass map	control	23	34	10	17.8	4.7	
CA001-9-14	CA001-9-14	CA001	9	14	inv	ass map	control	13	41	13	17	4.2	
CA001-9-15	CA001-9-15	CA001	9	15	inv	array	control 1	1	36	12	13.9	3.6	
CA001-9-16	CA001-9-16	CA001	9	16	inv	ass map	control	14	40	8	18.9	4.6	
CA001-9-17	CA001-9-17	CA001	9	17	inv	ass map	control	23	49	12	15.3	4.6	
CA001-9-18	CA001-9-18	CA001	9	18	inv	ass map	control	12	16	10	23	5.7	
CA001-9-19	CA001-9-19	CA001	9	19	inv	ass map	control	19	32	13	18.4	4.2	
CA001-9-2	CA001-9-2	CA001	9	2	inv	array	drought 2	3	14	9	19	5.2	
CA001-9-20	CA001-9-20	CA001	9	20	inv	ass map	control	21	29	17	19.6	4.1	
CA001-9-21	CA001-9-21	CA001	9	21	inv	array	dna	12	25	11	22.5	4.7	
CA001-9-22	CA001-9-22	CA001	9	22	inv	ass map	control	15	38	12	19.6	4.2	
CA001-9-23	CA001-9-23	CA001	9	23	inv	ass map	control	14	23	15	16.7	4.1	
CA001-9-24	CA001-9-24	CA001	9	24	inv	ass map	control	16	31	11	19.2	4.3	
CA001-9-25	CA001-9-25	CA001	9	25	inv	ass map	control	20	35	13	11.8	3.7	
CA001-9-26	CA001-9-26	CA001	9	26	inv	ass map	control	16	29	11	17.4	3.9	
CA001-9-27	CA001-9-27	CA001	9	27	inv	ass map	control	17	1	13	16.7	14.2	
CA001-9-28	CA001-9-28	CA001	9	28	inv	array	control 1	2	29	12	18.8	3.9	
CA001-9-29	CA001-9-29	CA001	9	29	inv	array	drought 1	4	43	12	17.7	4.4	
CA001-9-3	CA001-9-3	CA001	9	3	inv	ass map	control	17	23	11	17.4	5.1	
CA001-9-30	CA001-9-30	CA001	9	30	inv	ass map	control	18	43	12	19	4.7	
CA001-9-31	CA001-9-31	CA001	9	31	inv	mat fx	control	6	7	11	18.3	4.2	
CA001-9-4	CA001-9-4	CA001	9	4	inv	ass map	control	15	32	7	14.5	4.5	
CA001-9-5	CA001-9-5	CA001	9	5	inv	mat fx	control	7	18	12	14.7	3.6	
CA001-9-6	CA001-9-6	CA001	9	6	inv	ass map	control	15	21	11	15.1	3.5	
