PopID	Mom	Origin	Latitude	Longitude	Cross_MomID	GermAvgDate	GermCount	GermPercent	CollYear	SeedAgeYrs	SeedCount	Rack	Pos	Indiv	Trt	ID_barcode	LfCountH	BoltedatH	ShootMass.g	LfCount1	BoltDay.adj	lxwH	bolt.bin	pop_momfam	Exp	MomFam	CrossNum	MomIndiv	DadID	DadFam	DadIndiv	Generation
60	US002	22	inv	46.1822666666667	-118.82615	US002.22	3.13	15	100	2008	1	15	9	50	o	cont	US002.22.o	24	n	4.278	14	NA	105.75	0	US002_22	st	22	NA	NA	NA	NA	NA	0
61	US002	22	inv	46.1822666666667	-118.82615	US002.22	3.13	15	100	2008	1	15	34	14	d	cont	US002.22.d	15	n	3.875	13	NA	172.36	0	US002_22	st	22	NA	NA	NA	NA	NA	0
62	US002	22	inv	46.1822666666667	-118.82615	US002.22	3.13	15	100	2008	1	15	7	7	i	cont	US002.22.i	0	y	4.284	15	72	NA	1	US002_22	st	22	NA	NA	NA	NA	NA	0
63	US002	24	inv	46.1822666666667	-118.82615	US002.24	3.36	11	73	2008	1	15	25	22	g	cont	US002.24.g	19	n	4.124	10	NA	211.25	0	US002_24	st	24	NA	NA	NA	NA	NA	0
64	US003	19	inv	46.60415	-116.64175	US003.19	3.23	13	93	2008	1	14	6	2	g	cont	US003.19.g	23	n	3.743	13	NA	120.96	0	US003_19	st	19	NA	NA	NA	NA	NA	0
65	US003	19	inv	46.60415	-116.64175	US003.19	3.23	13	93	2008	1	14	44	35	i	cont	US003.19.i	15	n	3.379	12	NA	127.73	0	US003_19	st	19	NA	NA	NA	NA	NA	0
66	US003	19	inv	46.60415	-116.64175	US003.19	3.23	13	93	2008	1	14	12	42	a	cont	US003.19.a	18	n	3.135	11	NA	156.8	0	US003_19	st	19	NA	NA	NA	NA	NA	0
67	US003	20	inv	46.60415	-116.64175	US003.20	3.33	15	100	2008	1	15	9	48	b	cont	US003.20.b	16	n	2.108	14	NA	81.18	0	US003_20	st	20	NA	NA	NA	NA	NA	0
68	US003	20	inv	46.60415	-116.64175	US003.20	3.33	15	100	2008	1	15	7	17	j	cont	US003.20.j	30	n	4.132	15	NA	226.85	0	US003_20	st	20	NA	NA	NA	NA	NA	0
69	US003	27	inv	46.60415	-116.64175	US003.27	3.36	14	93	2008	1	15	29	18	g	cont	US003.27.g	13	n	3.039	9	NA	157.99	0	US003_27	st	27	NA	NA	NA	NA	NA	0
70	US003	27	inv	46.60415	-116.64175	US003.27	3.36	14	93	2008	1	15	34	1	b	cont	US003.27.b	9	y	4.052	11	87	164.88	1	US003_27	st	27	NA	NA	NA	NA	NA	0
71	US003	27	inv	46.60415	-116.64175	US003.27	3.36	14	93	2008	1	15	18	4	j	cont	US003.27.j	18	n	3.465	10	NA	298.9	0	US003_27	st	27	NA	NA	NA	NA	NA	0
72	US003	28	inv	46.60415	-116.64175	US003.28	3.07	14	100	2008	1	14	25	29	a	cont	US003.28.a	15	n	2.869	12	NA	193	0	US003_28	st	28	NA	NA	NA	NA	NA	0
73	US003	6	inv	46.60415	-116.64175	US003.6	3	13	93	2008	1	14	30	39	a	cont	US003.6.a	14	n	1.91	10	NA	157.78	0	US003_6	st	6	NA	NA	NA	NA	NA	0
74	US003	6	inv	46.60415	-116.64175	US003.6	3	13	93	2008	1	14	24	38	h	cont	US003.6.h	18	n	2.485	6	NA	229.08	0	US003_6	st	6	NA	NA	NA	NA	NA	0
75	US003	6	inv	46.60415	-116.64175	US003.6	3	13	93	2008	1	14	5	49	f	cont	US003.6.f	10	n	2.255	6	NA	172.48	0	US003_6	st	6	NA	NA	NA	NA	NA	0
76	US003	6	inv	46.60415	-116.64175	US003.6	3	13	93	2008	1	14	40	25	j	cont	US003.6.j	17	n	3.443	9	NA	181.47	0	US003_6	st	6	NA	NA	NA	NA	NA	0
77	BG001	29M	nat	43.3819444444444	28.4575	BG001-1	2	2	100	2010	0.17	2	19	45	1	cont	BG001-1-1	0	y	3.035	17	16	0	1	BG001_29	ass map	29	1	M	25L	25	L	1
78	BG001	29M	nat	43.3819444444444	28.4575	BG001-2	2	1	100	2010	0.17	1	12	21	1	cont	BG001-2-1	7	y	2.898	21	54	92.12	1	BG001_29	ass map	29	2	M	25N	25	N	1
79	BG001	16N	nat	43.3819444444444	28.4575	BG001-3	3.5	4	100	2010	0.17	4	7	1	2	cont	BG001-3-2	0	y	2.726	11	68	NA	1	BG001_16	mat fx	16	3	N	25L	25	L	1
80	BG001	22N	nat	43.3819444444444	28.4575	BG001-4	2	1	100	2010	0.17	1	17	31	1	cont	BG001-4-1	4	y	2.209	17	65	58.8	1	BG001_22	ass map	22	4	N	25N	25	N	1
81	BG001	22N	nat	43.3819444444444	28.4575	BG001-5	2	6	100	2010	0.17	6	18	3	2	cont	BG001-5-2	12	y	4.266	16	68	121.89	1	BG001_22	ass map	22	5	N	29M	29	M	1
82	BG001	22N	nat	43.3819444444444	28.4575	BG001-5	2	6	100	2010	0.17	6	13	5	4	cont	BG001-5-4	8	n	1.232	11	NA	142.8	0	BG001_22	ass map	22	5	N	29M	29	M	1
83	BG001	22O	nat	43.3819444444444	28.4575	BG001-6	2.5	4	66.6666666666667	2010	0.17	6	13	8	1	cont	BG001-6-1	3	y	2.338	14	68	19.5	1	BG001_22	ass map	22	6	O	25L	25	L	1
84	BG001	22O	nat	43.3819444444444	28.4575	BG001-6	2.5	4	66.6666666666667	2010	0.17	6	19	12	3	cont	BG001-6-3	17	n	2.824	15	NA	126.14	0	BG001_22	ass map	22	6	O	25L	25	L	1
86	BG001	25L	nat	43.3819444444444	28.4575	BG001-8	2	8	100	2010	0.17	8	6	29	1	cont	BG001-8-1	0	y	6.468	15	48	0	1	BG001_25	mat fx	25	8	L	16N	16	N	1
87	BG001	25L	nat	43.3819444444444	28.4575	BG001-8	2	8	100	2010	0.17	8	22	18	2	cont	BG001-8-2	0	y	6.393	9	0	0	1	BG001_25	ass map	25	8	L	16N	16	N	1
88	BG001	25L	nat	43.3819444444444	28.4575	BG001-8	2	8	100	2010	0.17	8	14	34	4	cont	BG001-8-4	1	y	2.937	14	54	98.55	1	BG001_25	ass map	25	8	L	16N	16	N	1
89	BG001	25L	nat	43.3819444444444	28.4575	BG001-9	2	12	100	2010	0.17	12	21	47	6	cont	BG001-9-6	0	y	4.187	14	16	0	1	BG001_25	ass map	25	9	L	22N	22	N	1
90	BG001	25L	nat	43.3819444444444	28.4575	BG001-9	2	12	100	2010	0.17	12	22	8	7	cont	BG001-9-7	17	n	2.828	14	NA	127.05	0	BG001_25	ass map	25	9	L	22N	22	N	1
91	BG001	25L	nat	43.3819444444444	28.4575	BG001-9	2	12	100	2010	0.17	12	19	31	9	cont	BG001-9-9	0	y	2.248	10	54	0	1	BG001_25	ass map	25	9	L	22N	22	N	1
92	BG001	25L	nat	43.3819444444444	28.4575	BG001-9	2	12	100	2010	0.17	12	13	16	8	cont	BG001-9-8	3	y	3.536	16	68	51.25	1	BG001_25	ass map	25	9	L	22N	22	N	1
93	BG001	25L	nat	43.3819444444444	28.4575	BG001-9	2	12	100	2010	0.17	12	23	5	12	cont	BG001-9-12	6	y	2.515	11	68	124.8	1	BG001_25	ass map	25	9	L	22N	22	N	1
94	BG001	25L	nat	43.3819444444444	28.4575	BG001-9	2	12	100	2010	0.17	12	16	1	10	cont	BG001-9-10	0	y	3.474	16	41	0	1	BG001_25	ass map	25	9	L	22N	22	N	1
96	BG001	25L	nat	43.3819444444444	28.4575	BG001-11	2	3	100	2010	0.17	3	20	38	2	cont	BG001-11-2	0	y	5.231	13	54	0	1	BG001_25	ass map	25	11	L	22O	22	O	1
99	BG001	25N	nat	43.3819444444444	28.4575	BG001-14	2	3	100	2010	0.17	3	17	8	1	cont	BG001-14-1	0	y	2.436	16	34	0	1	BG001_25	ass map	25	14	N	17O	17	O	1
100	BG001	25N	nat	43.3819444444444	28.4575	BG001-14	2	3	100	2010	0.17	3	6	1	2	cont	BG001-14-2	15	y	4.193	17	76	59.84	1	BG001_25	mat fx	25	14	N	17O	17	O	1
102	BG001	17K	nat	43.3819444444444	28.4575	BG001-16	2	1	50	2010	0.17	2	13	40	1	cont	BG001-16-1	14	y	3.229	17	76	62.44	1	BG001_17	ass map	17	16	K	25N	25	N	1
103	BG001	17K	nat	43.3819444444444	28.4575	BG001-17	2.181818182	11	100	2010	0.17	11	19	16	3	cont	BG001-17-3	25	y	3.302	20	76	120.48	1	BG001_17	ass map	17	17	K	16N	16	N	1
104	BG001	17K	nat	43.3819444444444	28.4575	BG001-17	2.181818182	11	100	2010	0.17	11	18	29	10	cont	BG001-17-10	23	n	3.394	19	NA	117.5	0	BG001_17	ass map	17	17	K	16N	16	N	1
105	BG001	17K	nat	43.3819444444444	28.4575	BG001-17	2.181818182	11	100	2010	0.17	11	6	5	9	cont	BG001-17-9	39	n	3.87	26	NA	96.48	0	BG001_17	mat fx	17	17	K	16N	16	N	1
106	BG001	17K	nat	43.3819444444444	28.4575	BG001-17	2.181818182	11	100	2010	0.17	11	22	35	1	cont	BG001-17-1	7	y	4.909	18	68	152.22	1	BG001_17	ass map	17	17	K	16N	16	N	1
107	BG001	17K	nat	43.3819444444444	28.4575	BG001-17	2.181818182	11	100	2010	0.17	11	16	18	4	cont	BG001-17-4	30	n	4.047	18	NA	151.89	0	BG001_17	ass map	17	17	K	16N	16	N	1
108	BG001	17K	nat	43.3819444444444	28.4575	BG001-17	2.181818182	11	100	2010	0.17	11	16	36	6	cont	BG001-17-6	21	n	3.2	17	NA	80.18	0	BG001_17	ass map	17	17	K	16N	16	N	1
109	BG001	16A	nat	43.3819444444444	28.4575	BG001-18	2	7	100	2010	0.17	7	6	3	6	cont	BG001-18-6	4	y	3.316	18	68	121.9	1	BG001_16	mat fx	16	18	A	25N	25	N	1
110	BG001	16A	nat	43.3819444444444	28.4575	BG001-18	2	7	100	2010	0.17	7	14	29	7	cont	BG001-18-7	22	y	3.234	17	87	101.43	1	BG001_16	ass map	16	18	A	25N	25	N	1
111	BG001	16A	nat	43.3819444444444	28.4575	BG001-18	2	7	100	2010	0.17	7	6	27	4	cont	BG001-18-4	10	y	4.472	15	68	122.43	1	BG001_16	mat fx	16	18	A	25N	25	N	1
112	BG001	16A	nat	43.3819444444444	28.4575	BG001-18	2	7	100	2010	0.17	7	15	49	3	cont	BG001-18-3	0	y	1.6	16	54	NA	1	BG001_16	ass map	16	18	A	25N	25	N	1
116	CA001	3O	inv	49.0149388888889	-122.882097222222	CA001-4	2.5	12	92.3076923076923	2010	0.17	13	14	18	6	cont	CA001-4-6	25	y	4.771	17	68	63.3	1	CA001_3	ass map	3	4	O	2N	2	N	1
