PopID	MomID	Mom	Origin	SeedWt	GermAvgDate	GermCount	GermPercent	CollYear	SeedAgeYrs	ComboSeedWt	SeedCount	Sdwt.log	GermPerc.arsq	Latitude	Longitude	AvgGermDate.log
28	GR002	GR002.25	25	nat	1.0792	3.23	13	87	2008	1	16.188	15	0.076220025911409	68.8647708624491	40.6213888888889	23.0786111111111	1.17248213723457
29	GR002	GR002.2	2	nat	0.8696	3.77	13	87	2008	1	13.044	15	-0.139721943175137	68.8647708624491	40.6213888888889	23.0786111111111	1.32707500145992
30	GR002	GR002.8	8	nat	0.834333333	3.55	11	73	2008	1	12.515	15	-0.181122276617993	58.6927552214285	40.6213888888889	23.0786111111111	1.26694760348732
31	GR002	GR002.13	13	nat	0.781933333	3.87	15	100	2008	1	11.729	15	-0.245985793989136	89.9987755437136	40.6213888888889	23.0786111111111	1.35325450704169
32	GR003	GR003.9	9	nat	0.7354	3.67	12	80	2008	1	11.031	15	-0.307340710114965	63.4340857860124	40.8508333333333	25.7930555555556	1.30019166206648
33	GR003	GR003.12	12	nat	0.585666667	3.6	15	100	2008	1	8.785	15	-0.535004478893997	89.9987755437136	40.8508333333333	25.7930555555556	1.28093384546206
34	GR003	GR003.10	10	nat	0.842466667	3.13	15	100	2008	1	12.637	15	-0.171421181930003	89.9987755437136	40.8508333333333	25.7930555555556	1.14103300455206
35	GR003	GR003.3	3	nat	1.174133333	4.36	14	93	2008	1	17.612	15	0.1605302865074	74.6572757142422	40.8508333333333	25.7930555555556	1.47247205736094
36	GR003	GR003.17	17	nat	1.212066667	4.58	12	80	2008	1	18.181	15	0.192326891909938	63.4340857860124	40.8508333333333	25.7930555555556	1.52169899812609
37	HU001	HU001.13	13	nat	1.102	3.23	13	87	2008	1	16.53	15	0.0971267107307228	68.8647708624491	47.6419444444444	18.7825	1.17248213723457
38	HU001	HU001.14	14	nat	0.719533333	3.38	13	87	2008	1	10.793	15	-0.329152425722264	68.8647708624491	47.6419444444444	18.7825	1.21787570949493
39	HU001	HU001.24	24	nat	1.163	3.6	15	100	2008	1	17.445	15	0.151002873536527	89.9987755437136	47.6419444444444	18.7825	1.28093384546206
