Rack	Pos	Barcode	PopID	CrossNum	Indiv	Origin	Exp	Trt	LfCountH	LfLgthH	LfWdthH	BoltedatH	BoltCountH	MaxBoltHtH	HBoltHt1	HBoltHt2	HBoltHt3	HBoltHt4	HBoltHt5	HBoltHt6	HBoltHt7	FlrHeadCount	HarvNotes	MsrHarvest	CrownDiam.mm	ShootMass.g	MassNotes	MsrHarvest2	MsrHarvest3
CA001-15-7	18	9	CA001-15-7	CA001	15	7	inv	ass map	control	18	28.2	4.5	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/20/2010	0.8	4.894	NA	2010-10-20	85
CA001-16-1	19	7	CA001-16-1	CA001	16	1	inv	ass map	control	19	19.8	4.2	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	0.9	3.542	NA	2010-10-21	86
CA001-16-2	12	34	CA001-16-2	CA001	16	2	inv	ass map	control	26	24.8	5.4	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/19/2010	1.1	3.443	NA	2010-10-19	84
CA001-16-3	15	35	CA001-16-3	CA001	16	3	inv	ass map	control	13	23.5	4.8	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	0.6	2.864	NA	2010-10-21	86
CA001-16-4	8	42	CA001-16-4	CA001	16	4	inv	mat fx	cut	31	0	0	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/18/2010	0.8	NA	NA	2010-10-18	83
CA001-16-6	15	40	CA001-16-6	CA001	16	6	inv	ass map	control	11	19.6	4.2	y	1	35	35	NA	NA	NA	NA	NA	NA	35		10/21/2010	0.9	6.161	NA	2010-10-21	86
CA001-16-7	12	9	CA001-16-7	CA001	16	7	inv	ass map	control	17	21.1	5.1	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/19/2010	1	3.891	NA	2010-10-19	84
CA001-16-8	17	20	CA001-16-8	CA001	16	8	inv	ass map	control	16	26.7	5.4	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/20/2010	0.7	3.353	NA	2010-10-20	85
CA001-17-1	18	18	CA001-17-1	CA001	17	1	inv	ass map	control	19	25.2	6.2	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/20/2010	0.8	4.304	NA	2010-10-20	85
CA001-17-10	18	40	CA001-17-10	CA001	17	10	inv	ass map	control	6	22.6	4.8	y	1	34.5	34.5	NA	NA	NA	NA	NA	NA	39		10/20/2010	0.9	5.429	NA	2010-10-20	85
CA001-17-11	16	50	CA001-17-11	CA001	17	11	inv	ass map	control	21	17.6	3.9	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/15/2010	0.6	2.369	NA	2010-10-15	80
