Rack	Pos	Barcode	PopID	CrossNum	Indiv	Origin	Exp	Trt	LfCountH	LfLgthH	LfWdthH	BoltedatH	BoltCountH	MaxBoltHtH	HBoltHt1	HBoltHt2	HBoltHt3	HBoltHt4	HBoltHt5	HBoltHt6	HBoltHt7	FlrHeadCount	HarvNotes	MsrHarvest	CrownDiam.mm	ShootMass.g	MassNotes	MsrHarvest2	MsrHarvest3
GR002-9-8	11	38	GR002-9-8	GR002	9	8	nat	mat fx	nut def	16	17.1	3.6	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/13/2010	0.7	1.835	NA	2010-10-13	78
HUG-1-1	23	32	HUG-1-1	HUG	1	1	SK	ass map	control	15	23.5	5.8	y	1	23.5	23.5	NA	NA	NA	NA	NA	NA	5		10/20/2010	0.9	5.161	NA	2010-10-20	85
RU008-11-1	6	25	RU008-11-1	RU008	11	1	nat	mat fx	control	25	31.5	5.3	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/19/2010	0.8	3.944	NA	2010-10-19	84
RU008-1-2	6	9	RU008-1-2	RU008	1	2	nat	mat fx	control	16	25.8	4.5	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/19/2010	1	3.713	NA	2010-10-19	84
RU008-2-1	8	18	RU008-2-1	RU008	2	1	nat	mat fx	cut	70	NA	0	y	1	6.5	6.5	NA	NA	NA	NA	NA	NA	NA		10/18/2010	1	NA	NA	2010-10-18	83
RU008-5-1	7	27	RU008-5-1	RU008	5	1	nat	mat fx	control	10	21.5	4.3	y	1	36	36	NA	NA	NA	NA	NA	NA	62		10/21/2010	0.7	5.523	NA	2010-10-21	86
RU008-5-2	6	23	RU008-5-2	RU008	5	2	nat	mat fx	control	5	26.4	6.7	y	1	49.2	49.2	NA	NA	NA	NA	NA	NA	19		10/19/2010	0.9	4.758	NA	2010-10-19	84
RU008-5-9	7	38	RU008-5-9	RU008	5	9	nat	mat fx	control	12	18	2.5	y	1	41.6	41.6	NA	NA	NA	NA	NA	NA	50		10/21/2010	1.1	4.146	NA	2010-10-21	86
RU008-6-1	11	27	RU008-6-1	RU008	6	1	nat	mat fx	nut def	44	15.9	4.3	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/13/2010	0.8	2.393	NA	2010-10-13	78
RU008-8-1	8	12	RU008-8-1	RU008	8	1	nat	mat fx	cut	6	0	0	y	1	42.5	42.5	NA	NA	NA	NA	NA	NA	66	FLR WH	10/18/2010	0.7	NA	NA	2010-10-18	83
RU008-8-2	6	47	RU008-8-2	RU008	8	2	nat	mat fx	control	8	20	5.2	y	1	21	21	NA	NA	NA	NA	NA	NA	6		10/19/2010	0.9	NA	NA	2010-10-19	84
RU008-8-4	8	41	RU008-8-4	RU008	8	4	nat	mat fx	cut	32	0	0	y	1	2.5	2.5	NA	NA	NA	NA	NA	NA	NA		10/18/2010	1	NA	NA	2010-10-18	83
RU008-9-2	11	23	RU008-9-2	RU008	9	2	nat	mat fx	nut def	24	17.9	4.2	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/13/2010	7.5	1.956	NA	2010-10-13	78
RU008-9-5	11	47	RU008-9-5	RU008	9	5	nat	mat fx	nut def	35	12.8	3.6	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/13/2010	6.5	1.82	NA	2010-10-13	78
SAND-1-1	7	45	SAND-1-1	SAND	1	1	SK	mat fx	control	15	26.4	7	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	0.7	4.675	NA	2010-10-21	86
SAND-1-2	6	32	SAND-1-2	SAND	1	2	SK	mat fx	control	16	27.4	5.3	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/19/2010	0.9	5.238	NA	2010-10-19	84
SAND-1-3	11	3	SAND-1-3	SAND	1	3	SK	mat fx	nut def	23	20.5	5.8	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/13/2010	0.65	2.625	NA	2010-10-13	78
SAND-1-4	11	43	SAND-1-4	SAND	1	4	SK	mat fx	nut def	21	17.6	5.9	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/13/2010	0.7	3.96	NA	2010-10-13	78
SAND-1-5	8	32	SAND-1-5	SAND	1	5	SK	mat fx	cut	53	0	0	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/18/2010	1	NA	NA	2010-10-18	83
SAND-1-6	7	21	SAND-1-6	SAND	1	6	SK	mat fx	control	16	25.4	5.1	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	1	4.645	NA	2010-10-21	86
SAND-1-8	17	47	SAND-1-8	SAND	1	8	SK	ass map	control	44	22.2	6.4	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/20/2010	1.1	4.734	NA	2010-10-20	85
SAND-1-9	6	18	SAND-1-9	SAND	1	9	SK	mat fx	control	14	31.8	9.7	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/19/2010	0.9	5.41	NA	2010-10-19	84
SAND-2-2	8	36	SAND-2-2	SAND	2	2	SK	mat fx	cut	33	0	0	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/18/2010	0.65	NA	NA	2010-10-18	83
SAND-2-7	8	9	SAND-2-7	SAND	2	7	SK	mat fx	cut	43	0	0	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/18/2010	0.8	NA	NA	2010-10-18	83
SAND-3-3	7	34	SAND-3-3	SAND	3	3	SK	mat fx	control	20	27.3	8.1	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	0.8	5.459	NA	2010-10-21	86
SAND-3-4	11	21	SAND-3-4	SAND	3	4	SK	mat fx	nut def	19	22.1	6.2	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/13/2010	0.7	3.183	NA	2010-10-13	78
SAND-3-5	7	41	SAND-3-5	SAND	3	5	SK	mat fx	control	23	18.5	4.6	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	0.8	3.896	NA	2010-10-21	86
SERG-1-1	19	15	SERG-1-1	SERG	1	1	SK	ass map	control	28	18.5	4.5	y	3	10.5	10.5	5	2.5	NA	NA	NA	NA	48	 L PRPL	10/21/2010	0.6	4.41	NA	2010-10-21	86
SERG-1-2	23	41	SERG-1-2	SERG	1	2	SK	ass map	control	0	0	0	y	7	32	32	19	7.5	18	19.5	4.5	22	39	 tallest bolt DEAD, rest alive	10/20/2010	0.6	3.299	NA	2010-10-20	85
SERG-1-3	14	43	SERG-1-3	SERG	1	3	SK	ass map	control	6	15.5	3.6	y	1	23.5	23.5	NA	NA	NA	NA	NA	NA	47		10/19/2010	0.7	2.593	NA	2010-10-19	84
SERG-1-4	14	7	SERG-1-4	SERG	1	4	SK	ass map	control	25	10.5	3.5	y	1	29.2	29.2	NA	NA	NA	NA	NA	NA	31		10/19/2010	0.9	3.386	NA	2010-10-19	84
SERG-1-5	18	11	SERG-1-5	SERG	1	5	SK	array	dna	0	0	0	y	1	31	31	NA	NA	NA	NA	NA	NA	50	PRPL FLRS	10/20/2010	0.5	4.657	NA	2010-10-20	85
SERG-1-6	20	15	SERG-1-6	SERG	1	6	SK	ass map	control	3	8.8	3.1	y	2	28.2	28.2	14.5	NA	NA	NA	NA	NA	44	PRPL FLRS	10/21/2010	0.6	3.014	NA	2010-10-21	86
SERG-1-7	17	43	SERG-1-7	SERG	1	7	SK	array	dna	0	0	0	y	4	50.2	50.2	7.5	15	12.2	NA	NA	NA	115	FLR PRPL	10/20/2010	0.6	4.779	NA	2010-10-20	85
SERG-2-1	14	27	SERG-2-1	SERG	2	1	SK	ass map	control	10	33.1	9.2	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/19/2010	0.7	2.768	NA	2010-10-19	84
SERG-2-2	23	16	SERG-2-2	SERG	2	2	SK	ass map	control	4	13.1	2.6	y	1	19.5	19.5	NA	NA	NA	NA	NA	NA	32	PRPL FLR	10/20/2010	0.5	2.788	NA	2010-10-20	85
SERG-2-3	22	16	SERG-2-3	SERG	2	3	SK	ass map	control	0	0	0	y	1	35	35	NA	NA	NA	NA	NA	NA	43		10/21/2010	0.5	1.724	NA	2010-10-21	86
SERG-2-4	17	29	SERG-2-4	SERG	2	4	SK	ass map	control	18	29.2	6.6	y	2	18.5	18.5	12	NA	NA	NA	NA	NA	9	FLR PRPL	10/20/2010	2.7	4.135	NA	2010-10-20	85
SERG-2-5	16	48	SERG-2-5	SERG	2	5	SK	array	dna	8	14.6	3.3	y	2	30	30	4	NA	NA	NA	NA	NA	26		10/15/2010	0.5	2.258	NA	2010-10-15	80
SERG-2-6	15	16	SERG-2-6	SERG	2	6	SK	ass map	control	0	0	0	y	1	36.2	36.2	NA	NA	NA	NA	NA	NA	41		10/21/2010	0.4	2.802	NA	2010-10-21	86
SERG-2-7	23	27	SERG-2-7	SERG	2	7	SK	ass map	control	0	0	0	y	1	32.2	32.2	NA	NA	NA	NA	NA	NA	53	PRPL FLR	10/20/2010	0.5	3.705	NA	2010-10-20	85
SERG-2-8	17	36	SERG-2-8	SERG	2	8	SK	ass map	control	0	0	0	y	1	22	22	NA	NA	NA	NA	NA	NA	34	PRPL FLRS	10/20/2010	0.5	2.788	NA	2010-10-20	85
SERG-2-9	22	38	SERG-2-9	SERG	2	9	SK	ass map	control	14	23.7	5.8	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	0.7	2.272	NA	2010-10-21	86
SERG-3-1	15	5	SERG-3-1	SERG	3	1	SK	ass map	control	16	19.5	4.3	y	1	24.5	24.5	NA	NA	NA	NA	NA	NA	6		10/21/2010	0.6	2.224	NA	2010-10-21	86
SERG-3-10	23	38	SERG-3-10	SERG	3	10	SK	ass map	control	8	17	5.2	y	1	24	24	NA	NA	NA	NA	NA	NA	10		10/20/2010	0.95	3.213	NA	2010-10-20	85
SERG-3-2	22	32	SERG-3-2	SERG	3	2	SK	ass map	control	0	0	0	y	1	32.5	32.5	NA	NA	NA	NA	NA	NA	25	L PRPL FLRS	10/21/2010	0.6	1.776	NA	2010-10-21	86
SERG-3-3	20	12	SERG-3-3	SERG	3	3	SK	ass map	control	0	NA	0	y	5	26.5	26.5	8.5	4.7	4	5.5	NA	NA	119	PRPL FLRS	10/21/2010	0.55	4.523	NA	2010-10-21	86
SERG-3-4	18	45	SERG-3-4	SERG	3	4	SK	ass map	control	0	0	0	y	1	25.5	25.5	NA	NA	NA	NA	NA	NA	26		10/20/2010	0.85	2.086	NA	2010-10-20	85
SERG-3-5	21	5	SERG-3-5	SERG	3	5	SK	ass map	control	0	0	0	y	3	25.5	25.5	21.5	20.1	NA	NA	NA	NA	14		10/21/2010	0.7	2.578	NA	2010-10-21	86
SERG-3-6	21	8	SERG-3-6	SERG	3	6	SK	ass map	control	0	0	0	y	1	18.6	18.6	NA	NA	NA	NA	NA	NA	43	FLR PRPL	10/21/2010	0.5	2.639	NA	2010-10-21	86
SERG-3-7	17	11	SERG-3-7	SERG	3	7	SK	ass map	control	1	12.2	4.3	y	3	25	25	6	7.5	NA	NA	NA	NA	77	PRPL FLRS	10/20/2010	0.55	3.711	NA	2010-10-20	85
SERG-3-8	14	5	SERG-3-8	SERG	3	8	SK	ass map	control	2	10.5	2.5	y	1	14.5	14.5	NA	NA	NA	NA	NA	NA	32	FLR PRPL	10/19/2010	0.6	1.801	NA	2010-10-19	84
SERG-3-9	12	1	SERG-3-9	SERG	3	9	SK	ass map	control	0	0	0	y	1	27.5	27.5	NA	NA	NA	NA	NA	NA	32	FLR PRPL	10/19/2010	0.65	3.517	NA	2010-10-19	84
TR001-10-3	11	16	TR001-10-3	TR001	10	3	nat	mat fx	nut def	17	12.2	3.6	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/13/2010	0.7	1.201	NA	2010-10-13	78
TR001-10-4	8	21	TR001-10-4	TR001	10	4	nat	mat fx	cut	27	0	0	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/18/2010	0.6	NA	NA	2010-10-18	83
TR001-2-1	8	47	TR001-2-1	TR001	2	1	nat	mat fx	cut	43	0	0	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/18/2010	0.7	NA	NA	2010-10-18	83
TR001-2-2	11	18	TR001-2-2	TR001	2	2	nat	mat fx	nut def	9	17.9	3.2	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/13/2010	0.6	1.271	NA	2010-10-13	78
TR001-3-1	7	9	TR001-3-1	TR001	3	1	nat	mat fx	control	16	22	3.1	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	0.6	2.177	NA	2010-10-21	86
TR001-5-1	11	5	TR001-5-1	TR001	5	1	nat	mat fx	nut def	23	15.7	2.5	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/13/2010	0.6	1.202	NA	2010-10-13	78
TR001-6-7	8	23	TR001-6-7	TR001	6	7	nat	mat fx	cut	40	0	0	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/18/2010	0.7	NA	NA	2010-10-18	83
TR001-7-1	20	1	TR001-7-1	TR001	7	1	nat	ass map	control	14	23.3	4.8	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	0.8	2.05	NA	2010-10-21	86
TR001-9-11	18	25	TR001-9-11	TR001	9	11	nat	ass map	control	15	26.2	5.8	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/20/2010	0.75	2.835	NA	2010-10-20	85
TR001-9-13	6	21	TR001-9-13	TR001	9	13	nat	mat fx	control	3	26.3	3.1	y	1	40.5	40.5	NA	NA	NA	NA	NA	NA	NA		10/19/2010	0.9	3.595	NA	2010-10-19	84
TR001-9-18	7	3	TR001-9-18	TR001	9	18	nat	mat fx	control	12	21	3.4	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	1	1.695	NA	2010-10-21	86
TR001-9-23	7	49	TR001-9-23	TR001	9	23	nat	mat fx	control	21	14.6	3.5	y	1	33.1	33.1	NA	NA	NA	NA	NA	NA	NA		10/21/2010	0.8	2.954	NA	2010-10-21	86
TR001-9-4	21	10	TR001-9-4	TR001	9	4	nat	ass map	control	13	27.8	4	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	0.9	2.001	NA	2010-10-21	86
TR001-9-6	7	20	TR001-9-6	TR001	9	6	nat	mat fx	control	19	17.5	3.7	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	0.7	1.9	NA	2010-10-21	86
TR001-9-8	15	20	TR001-9-8	TR001	9	8	nat	ass map	control	17	29.5	4.8	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	0.7	2.776	NA	2010-10-21	86
TR001-9-9	7	36	TR001-9-9	TR001	9	9	nat	mat fx	control	0	0	0	y	1	37.1	37.1	NA	NA	NA	NA	NA	NA	71	FLR WHITE	10/21/2010	0.5	2.697	NA	2010-10-21	86
US001-10-1	22	29	US001-10-1	US001	10	1	inv	ass map	control	10	27.5	6.1	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	0.9	3.2	NA	2010-10-21	86
US001-10-3	6	40	US001-10-3	US001	10	3	inv	mat fx	control	8	27.6	4.7	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/19/2010	0.7	3.088	NA	2010-10-19	84
US001-10-4	6	45	US001-10-4	US001	10	4	inv	mat fx	control	13	23.2	5	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/19/2010	0.9	3.882	NA	2010-10-19	84
US001-10-5	7	7	US001-10-5	US001	10	5	inv	mat fx	control	15	21	2.5	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	1	3.484	NA	2010-10-21	86
US001-10-7	18	23	US001-10-7	US001	10	7	inv	ass map	control	21	18	4.3	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/20/2010	1	2.51	NA	2010-10-20	85
US001-1-1	16	23	US001-1-1	US001	1	1	inv	ass map	control	9	19.6	5.6	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/15/2010	1	4.602	NA	2010-10-15	80
US001-12-2	8	40	US001-12-2	US001	12	2	inv	mat fx	cut	13	28.1	4.6	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/18/2010	0.7	NA	NA	2010-10-18	83
US001-2-1	19	25	US001-2-1	US001	2	1	inv	ass map	control	21	22.7	5.5	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	1.1	4.285	NA	2010-10-21	86
US001-2-3	11	32	US001-2-3	US001	2	3	inv	mat fx	nut def	14	20.9	5.3	y	1	27.5	27.5	NA	NA	NA	NA	NA	NA	6		10/13/2010	1.1	2.245	NA	2010-10-13	78
US001-2-4	20	29	US001-2-4	US001	2	4	inv	ass map	control	13	20.5	4.7	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	1	3.713	NA	2010-10-21	86
US001-2-6	8	25	US001-2-6	US001	2	6	inv	mat fx	cut	32	17.5	3.7	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/18/2010	1	NA	NA	2010-10-18	83
US001-3-1	15	1	US001-3-1	US001	3	1	inv	ass map	control	55	20.5	4.3	y	1	29	29	NA	NA	NA	NA	NA	NA	2		10/21/2010	0.6	3.241	NA	2010-10-21	86
US001-4-1	23	31	US001-4-1	US001	4	1	inv	ass map	control	13	28.1	4.6	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/20/2010	0.7	3.336	NA	2010-10-20	85
US001-4-10	21	3	US001-4-10	US001	4	10	inv	ass map	control	31	26.5	5.4	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	1	4.321	NA	2010-10-21	86
US001-4-4	19	9	US001-4-4	US001	4	4	inv	ass map	control	19	23.1	6.1	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	1.1	4.17	NA	2010-10-21	86
US001-4-7	16	27	US001-4-7	US001	4	7	inv	ass map	control	32	27.1	6.5	n	NA	0	NA	NA	NA	NA	NA	NA	NA	0		10/15/2010	1.1	4.175	NA	2010-10-15	80
US001-5-1	21	36	US001-5-1	US001	5	1	inv	ass map	control	12	33.7	5.5	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	0.8	3.351	NA	2010-10-21	86
US001-6-1	15	29	US001-6-1	US001	6	1	inv	ass map	control	14	31	6	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	0.8	3.654	NA	2010-10-21	86
US001-6-2	21	1	US001-6-2	US001	6	2	inv	ass map	control	12	28	4	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	0.8	2.95	NA	2010-10-21	86
US001-6-3	6	20	US001-6-3	US001	6	3	inv	mat fx	control	19	31.6	6.4	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/19/2010	0.9	4.28	NA	2010-10-19	84
US001-6-4	14	50	US001-6-4	US001	6	4	inv	ass map	control	15	18	3.4	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/19/2010	0.9	3.541	NA	2010-10-19	84
US001-7-10	21	25	US001-7-10	US001	7	10	inv	ass map	control	19	33.2	5.2	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	0.7	3.869	NA	2010-10-21	86
US001-7-11	22	41	US001-7-11	US001	7	11	inv	ass map	control	13	25.5	6.4	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	0.9	3.258	NA	2010-10-21	86
US001-7-3	15	34	US001-7-3	US001	7	3	inv	ass map	control	19	25	5.1	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	0.8	4.414	NA	2010-10-21	86
US001-7-4	7	23	US001-7-4	US001	7	4	inv	mat fx	control	17	25.3	4.1	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	0.8	3.756	NA	2010-10-21	86
US001-7-6	11	29	US001-7-6	US001	7	6	inv	mat fx	nut def	14	19.3	3.7	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/13/2010	0.6	1.881	NA	2010-10-13	78
US001-7-7	8	1	US001-7-7	US001	7	7	inv	mat fx	cut	29	0	0	n	NA	0	NA	NA	NA	NA	NA	NA	NA	0		10/18/2010	0.95	NA	NA	2010-10-18	83
US001-8-2	11	12	US001-8-2	US001	8	2	inv	mat fx	nut def	12	26.2	6.3	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/13/2010	0.5	1.566	NA	2010-10-13	78
US001-9-2	18	35	US001-9-2	US001	9	2	inv	ass map	control	18	24.4	5.1	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/20/2010	0.8	3.128	NA	2010-10-20	85
US001-9-7	6	43	US001-9-7	US001	9	7	inv	mat fx	control	11	27.2	4.6	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/19/2010	0.9	3.704	NA	2010-10-19	84
US002-1-1	23	9	US002-1-1	US002	1	1	inv	ass map	control	55	20.5	4.3	y	1	29	29	NA	NA	NA	NA	NA	NA	2		10/20/2010	0.6	4.665	NA	2010-10-20	85
US002-2-1	17	10	US002-2-1	US002	2	1	inv	ass map	control	16	19.5	4.3	y	1	25	25	NA	NA	NA	NA	NA	NA	4		10/20/2010	0.9	3.297	NA	2010-10-20	85
US002-2-2	20	23	US002-2-2	US002	2	2	inv	ass map	control	23	21.5	5.1	y	1	2	2	NA	NA	NA	NA	NA	NA	NA		10/21/2010	1	4.398	NA	2010-10-21	86
US002-3-1	15	15	US002-3-1	US002	3	1	inv	ass map	control	17	28.8	6.4	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	1	3.937	NA	2010-10-21	86
US002-3-10	14	9	US002-3-10	US002	3	10	inv	ass map	control	11	25.1	4.1	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/19/2010	0.8	3.249	NA	2010-10-19	84
US002-3-11	21	38	US002-3-11	US002	3	11	inv	ass map	control	17	32	5.2	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	0.8	4.285	NA	2010-10-21	86
US002-3-12	16	32	US002-3-12	US002	3	12	inv	ass map	control	12	25.7	4.1	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/15/2010	1	3.041	NA	2010-10-15	80
US002-3-13	17	38	US002-3-13	US002	3	13	inv	ass map	control	19	26.2	7.1	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/20/2010	1	4.703	NA	2010-10-20	85
US002-3-14	12	36	US002-3-14	US002	3	14	inv	ass map	control	25	30.6	6.8	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/19/2010	0.9	3.77	NA	2010-10-19	84
US002-3-15	13	50	US002-3-15	US002	3	15	inv	ass map	control	9	21.4	3.4	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	0.95	2.624	NA	2010-10-21	86
US002-3-16	23	47	US002-3-16	US002	3	16	inv	ass map	control	9	19.6	5.6	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/20/2010	1	2.619	NA	2010-10-20	85
US002-3-17	19	23	US002-3-17	US002	3	17	inv	ass map	control	11	28.8	6.3	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	0.95	3.792	NA	2010-10-21	86
US002-3-18	11	41	US002-3-18	US002	3	18	inv	mat fx	nut def	11	16.8	4.8	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/13/2010	0.6	1.138	NA	2010-10-13	78
US002-3-19	16	16	US002-3-19	US002	3	19	inv	ass map	control	15	26.4	5.2	n	NA	0	0	NA	NA	NA	NA	NA	NA	0		10/15/2010	0.9	3.132	NA	2010-10-15	80
US002-3-20	22	49	US002-3-20	US002	3	20	inv	ass map	control	9	24.8	5	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	1	3.076	NA	2010-10-21	86
US002-3-21	6	38	US002-3-21	US002	3	21	inv	mat fx	control	10	29.1	5.2	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/19/2010	0.8	3.458	NA	2010-10-19	84
US002-3-23	7	14	US002-3-23	US002	3	23	inv	mat fx	control	21	27	6.2	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	0.7	3.701	NA	2010-10-21	86
US002-3-24	6	36	US002-3-24	US002	3	24	inv	mat fx	control	18	27.5	6.3	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/19/2010	0.9	5.017	NA	2010-10-19	84
US002-3-25	8	5	US002-3-25	US002	3	25	inv	mat fx	cut	42	0	0	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/18/2010	0.9	NA	NA	2010-10-18	83
US002-3-26	15	12	US002-3-26	US002	3	26	inv	ass map	control	11	27.8	6.4	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	0.8	3.356	NA	2010-10-21	86
US002-3-27	12	18	US002-3-27	US002	3	27	inv	ass map	control	21	28.6	6.7	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/19/2010	0.7	3.425	NA	2010-10-19	84
US002-3-28	13	15	US002-3-28	US002	3	28	inv	ass map	control	10	28.5	5.1	y	1	18.3	18.3	NA	NA	NA	NA	NA	NA	NA		10/21/2010	0.9	3.078	NA	2010-10-21	86
US002-3-3	11	1	US002-3-3	US002	3	3	inv	mat fx	nut def	26	16.7	3.1	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/13/2010	0.8	2.781	NA	2010-10-13	78
US002-3-4	13	18	US002-3-4	US002	3	4	inv	ass map	control	20	28	5.5	y	1	1.5	1.5	NA	NA	NA	NA	NA	NA	NA		10/21/2010	1.1	5.391	NA	2010-10-21	86
US002-3-5	19	27	US002-3-5	US002	3	5	inv	ass map	control	14	27.6	8.4	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	0.9	3.973	NA	2010-10-21	86
US002-3-6	8	45	US002-3-6	US002	3	6	inv	mat fx	cut	22	0	0	y	1	19.5	19.5	NA	NA	NA	NA	NA	NA	NA		10/18/2010	0.6	NA	NA	2010-10-18	83
US002-3-7	21	18	US002-3-7	US002	3	7	inv	ass map	control	15	28	6.5	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	0.7	3.873	NA	2010-10-21	86
US002-3-8	22	27	US002-3-8	US002	3	8	inv	ass map	control	14	34.2	8.4	y	1	7.5	7.5	NA	NA	NA	NA	NA	NA	NA		10/21/2010	0.9	4.453	NA	2010-10-21	86
US002-3-9	12	47	US002-3-9	US002	3	9	inv	ass map	control	11	28.4	3.6	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/19/2010	0.9	2.876	NA	2010-10-19	84
US002-4-1	19	30	US002-4-1	US002	4	1	inv	ass map	control	24	20.4	5.1	y	1	2.5	2.5	NA	NA	NA	NA	NA	NA	NA		10/21/2010	1.05	4.874	NA	2010-10-21	86
US002-5-1	16	15	US002-5-1	US002	5	1	inv	ass map	control	19	23.5	4	n	NA	0	NA	NA	NA	NA	NA	NA	NA	0		10/15/2010	1	4.018	NA	2010-10-15	80
US002-5-10	12	20	US002-5-10	US002	5	10	inv	ass map	control	18	23.2	6.5	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/19/2010	1.2	3.851	NA	2010-10-19	84
