Rack	Pos	Barcode	PopID	CrossNum	Indiv	Origin	Exp	Trt	Wilt	TotWilt	Yellow	Death	Float	Note	BoltDate	FlwrDate	FlwrCol	FlwrNote	BoltMsrDate	BoltCount1	MaxBoltHt1	OtherBoltHt1	BoltMsr	BoltCount2	MaxBoltHt2	OtherBoltHt2	BoltMsrDate3	BoltCount3	MaxBoltHt3	OtherBoltHt3
BG3-1-2	17	30	BG3-1-2	BG3	1	2	SK	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BG3-1-3	18	30	BG3-1-3	BG3	1	3	SK	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BG3-1-4	17	9	BG3-1-4	BG3	1	4	SK	ass map	control							9/10/2010			diffuse-like light bracts	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BG3-2-1	13	38	BG3-2-1	BG3	2	1	SK	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BG3-2-2	15	8	BG3-2-2	BG3	2	2	SK	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BG3-3-1	14	32	BG3-3-1	BG3	3	1	SK	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-10-1	13	3	CA001-10-1	CA001	10	1	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-10-2	14	15	CA001-10-2	CA001	10	2	inv	ass map	control							10/19/2010				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-10-3	23	40	CA001-10-3	CA001	10	3	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-10-4	13	48	CA001-10-4	CA001	10	4	inv	array	dna											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-10-5	21	14	CA001-10-5	CA001	10	5	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-10-6	17	3	CA001-10-6	CA001	10	6	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-10-7	16	21	CA001-10-7	CA001	10	7	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-1-1	13	30	CA001-1-1	CA001	1	1	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-11-1	8	34	CA001-11-1	CA001	11	1	inv	mat fx	cut											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-11-10	5	38	CA001-11-10	CA001	11	10	inv	mat fx	allo											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-11-11	15	43	CA001-11-11	CA001	11	11	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-11-2	19	14	CA001-11-2	CA001	11	2	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-11-3	21	43	CA001-11-3	CA001	11	3	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-11-4	23	21	CA001-11-4	CA001	11	4	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
