PopID	Rack	Pos	Barcode	Origin	Exp	Trt	comment	CrossNum	Indiv	LfCountH	LfLgthH	LfWdthH	BoltedatH	BoltCountH	MaxBoltHtH	HBoltHt1	HBoltHt2	FlrHeadCount	HarvNotes	CrownDiam.mm	ShootMass.g	MsrHarvest2	HarvestDay	LfCount2	LfLgth2	LfWdth2	LfCount1	LfLgth1	LfWdth1	BoltDate	FlwrDate	FlwrCol	SLAmass.g	SLAarea	SLAdate	BoltDay	HBoltHt3	comments	FlwrNote	sla	Latitude	Longitude	lxwH	bolt.bin	BoltDay.adj
43	CA001	6	7	CA001-9-31	inv	mat fx	control		9	31	16	21.5	5.2	n	NA	NA	NA	NA	NA		1.1	4.276	2010-10-19	84	14	18.7	4.8	11	18.3	4.2				0.192	24.389	10/19/2010	NA	NA	NA	NA	127.026041666667	49.0149388888889	-122.882097222222	111.8	0	NA
44	CA001	14	3	CA001-7-1	inv	ass map	control		7	1	24	24.5	4.3	n	NA	NA	NA	NA	NA		1	4.117	2010-10-19	84	10	18.6	5.5	12	21.5	5.1				0.164	29.144	10/14/2010	NA	NA		NA	177.707317073171	49.0149388888889	-122.882097222222	105.35	0	NA
45	GR002	7	25	GR002-10-4	nat	mat fx	control		10	4	24	19.5	6.5	n	NA	NA	NA	NA	NA		1.8	3.069	2010-10-21	86	NA	NA	NA	13	13.5	3.6				0.134	27.169	10/18/2010	NA	NA	NA	NA	202.753731343284	40.6213888888889	23.0786111111111	126.75	0	NA
46	GR002	6	41	GR002-9-4	nat	mat fx	control		9	4	15	23.6	4.2	n	NA	NA	NA	NA	NA		0.8	3.371	2010-10-19	84	13	20.6	4.4	16	21.3	4.2				0.151	19.606	10/19/2010	NA	NA	NA	NA	129.841059602649	40.6213888888889	23.0786111111111	99.12	0	NA
47	GR002	7	47	GR002-3-2	nat	mat fx	control		3	2	18	22.4	3.6	n	NA	NA	NA	NA	NA		1	2.67	2010-10-21	86	7	15.2	2.1	14	15.5	3.7				0.156	21.326	10/18/2010	NA	NA	NA	NA	136.705128205128	40.6213888888889	23.0786111111111	80.64	0	NA
48	GR002	6	34	GR002-1-2	nat	mat fx	control		1	2	8	26.5	6.1	y	NA	NA	NA	NA	NA		1	4.238	2010-10-19	84	11	20.7	5.1	12	17.8	3.8	9/30/2010			0.138	33.106	10/19/2010	65	NA	NA	NA	239.898550724638	40.6213888888889	23.0786111111111	161.65	1	68
49	GR002	12	38	GR002-9-6	nat	ass map	control		9	6	16	23.7	4.4	y	1	31.5	31.5	NA	4		0.8	4.478	2010-10-19	84	15	20	4.7	15	16.3	2.7	9/27/2010			0.165	28.626	9/28/2010	62	NA		NA	173.490909090909	40.6213888888889	23.0786111111111	104.28	1	65
50	GR002	7	43	GR002-6-1	nat	mat fx	control		6	1	35	22.6	3.1	n	NA	NA	NA	NA	NA		1	4.044	2010-10-21	86	18	16	4.6	20	15.9	5.2				0.149	22.874	10/18/2010	NA	NA	NA	NA	153.51677852349	40.6213888888889	23.0786111111111	70.06	0	NA
51	GR002	16	35	GR002-9-7	nat	ass map	control		9	7	2	17.9	3.7	y	1	33.5	33.5	NA	55	FLR WHITE	0.9	4.328	2010-10-15	80	18	20.3	6	16	13.9	3.1	9/16/2010	10/15/2010	white	0.069	14.952	10/13/2010	51	NA		NA	216.695652173913	40.6213888888889	23.0786111111111	66.23	1	54
52	GR002	20	43	GR002-10-2	nat	ass map	control		10	2	15	18.3	4	n	NA	NA	NA	NA	NA		0.9	2.525	2010-10-21	86	12	15.4	5.4	15	13	4.4				0.102	18.22	10/15/2010	NA	NA		NA	178.627450980392	40.6213888888889	23.0786111111111	73.2	0	NA
53	GR002	7	16	GR002-1-1	nat	mat fx	control		1	1	27	24.5	5.1	n	NA	NA	NA	NA	NA		0.9	3.468	2010-10-21	86	13	17.2	3.5	14	17.5	3.9				0.062	12.142	10/18/2010	NA	NA	NA	NA	195.838709677419	40.6213888888889	23.0786111111111	124.95	0	NA
54	RU008	6	23	RU008-5-2	nat	mat fx	control		5	2	5	26.4	6.7	y	1	49.2	49.2	NA	19		0.9	4.758	2010-10-19	84	19	17.1	5.6	14	16.4	3.9	9/30/2010			0.135	NA	10/19/2010	65	NA	NA	NA	NA	44.05	43.06000278	176.88	1	68
55	RU008	6	25	RU008-11-1	nat	mat fx	control		11	1	25	31.5	5.3	n	NA	NA	NA	NA	NA		0.8	3.944	2010-10-19	84	14	23.9	6.7	14	14.3	3.4				0.139	22.506	10/19/2010	NA	NA	NA	NA	161.913669064748	44.05	43.06000278	166.95	0	NA
56	RU008	6	47	RU008-8-2	nat	mat fx	control		8	2	8	20	5.2	y	1	21	21	NA	6		0.9	NA	2010-10-19	84	17	19	7.1	13	19.5	4.7	9/30/2010			0.107	19.242	10/19/2010	65	NA	NA	NA	179.831775700935	44.05	43.06000278	104	1	68
57	RU008	6	9	RU008-1-2	nat	mat fx	control		1	2	16	25.8	4.5	n	NA	NA	NA	NA	NA		1	3.713	2010-10-19	84	22	19.1	5.7	15	16.1	3.2				0.155	24.613	10/19/2010	NA	NA	NA	NA	158.793548387097	44.05	43.06000278	116.1	0	NA
58	RU008	7	38	RU008-5-9	nat	mat fx	control		5	9	12	18	2.5	y	1	41.6	41.6	NA	50		1.1	4.146	2010-10-21	86	11	16.7	3.2	18	17.6	3.2	9/30/2010			0.072	18.968	10/18/2010	65	NA	NA	NA	263.444444444444	44.05	43.06000278	45	1	68
